S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,9.42,9.50,9.42,9.46,-0.53,"1,600.00","15,140.00"
2,2026-02-24,9.5,9.7,9.4,9.51,-0.11,"10,460.00","99,857.40"
3,2026-02-23,9.52,9.6,9.52,9.52,-1.86,"1,150.00","10,972.00"
4,2026-02-22,9.45,9.75,9.45,9.7,1.25,"3,700.00","35,561.00"
5,2026-02-17,9.92,9.93,9.56,9.58,-1.74,"1,620.00","15,817.60"
6,2026-02-16,9.7,9.75,9.6,9.75,-1.42,"3,200.00","30,845.00"
7,2026-02-12,9.6,9.89,9.6,9.89,1.85,"11,440.00","112,663.00"
8,2026-02-11,9.7,9.9,9.7,9.71,-1.42,"1,950.00","19,101.00"
9,2026-02-10,9.63,9.85,9.48,9.85,1.97,"121,600.00","1,194,877.50"
10,2026-02-09,9.65,9.71,9.65,9.66,-0.31,"2,850.00","27,558.50"
11,2026-02-08,9.65,9.69,9.64,9.69,-1.32,"21,800.00","210,599.00"
12,2026-02-05,9.63,9.82,9.63,9.82,1.76,"43,099.00","422,829.18"
13,2026-02-04,9.62,9.7,9.62,9.65,-1.03,"1,200.00","11,589.00"
14,2026-02-03,9.6,9.75,9.6,9.75,1.04,"11,490.00","111,419.40"
15,2026-02-02,9.61,9.7,9.61,9.65,-0.21,"10,530.00","101,441.50"
16,2026-02-01,9.8,9.8,9.64,9.67,-3.01,"11,006.00","107,171.94"
17,2026-01-29,9.65,9.97,9.65,9.97,1.84,"249,510.00","2,449,608.00"
18,2026-01-28,9.37,9.79,9.37,9.79,3.49,"107,300.00","1,048,538.20"
19,2026-01-27,9.5,9.55,9.46,9.46,-1.46,"2,450.00","23,243.00"
20,2026-01-26,9.5,9.75,9.5,9.6,0.0,"113,481.00","1,098,234.82"
21,2026-01-25,9.31,9.6,9.31,9.6,2.67,"50,950.00","482,832.00"
22,2026-01-22,9.21,9.39,9.21,9.35,0.54,"23,600.00","220,907.00"
23,2026-01-21,9.21,9.44,9.21,9.3,-0.32,"15,050.00","141,067.00"
24,2026-01-20,9.28,9.46,9.28,9.33,0.54,"47,930.00","452,618.20"
25,2026-01-18,9.35,9.41,9.2,9.28,-0.75,"17,260.00","161,469.20"
26,2026-01-14,9.21,9.35,9.21,9.35,0.97,580.00,"5,381.00"
27,2026-01-13,9.17,9.35,9.17,9.26,-0.96,"13,800.00","128,748.00"
28,2026-01-12,9.2,9.44,9.2,9.35,0.54,"17,100.00","161,100.00"
29,2026-01-08,9.09,9.43,9.09,9.3,0.54,"15,860.00","148,279.00"
30,2026-01-07,9.25,9.4,9.21,9.25,-0.64,"35,450.00","329,382.00"
31,2026-01-06,9.07,9.31,9.07,9.31,1.97,"7,470.00","68,634.30"
32,2026-01-05,9.1,9.24,9.1,9.13,0.77,"4,000.00","36,777.00"
33,2026-01-04,9.03,9.21,9.03,9.06,-1.52,"43,801.00","396,171.05"
34,2026-01-01,9.17,9.2,9.15,9.2,-1.6,"1,900.00","17,425.00"
35,2025-12-31,9.51,9.53,9.35,9.35,-3.61,"4,800.00","45,449.00"
36,2025-12-29,9.36,9.7,9.36,9.7,1.57,"11,077.00","104,590.58"
37,2025-12-28,9.38,9.56,9.2,9.55,3.8,"21,305.00","198,904.90"
38,2025-12-24,9.0,9.25,9.0,9.2,0.99,"40,100.00","366,901.00"
39,2025-12-23,9.03,9.11,9.03,9.11,-1.09,"25,700.00","233,189.00"
40,2025-12-22,9.09,9.37,9.03,9.21,0.22,"10,220.00","94,031.20"
41,2025-12-21,9.12,9.19,9.0,9.19,0.77,"36,400.00","331,612.00"
42,2025-12-18,9.03,9.12,9.03,9.12,0.66,"4,490.00","40,879.80"
43,2025-12-17,8.93,9.1,8.93,9.06,-0.44,850.00,"7,691.00"
44,2025-12-16,9.01,9.23,9.01,9.1,0.55,"21,700.00","198,493.00"
45,2025-12-15,8.98,9.05,8.98,9.05,-0.11,"1,780.00","16,046.00"
46,2025-12-14,8.92,9.13,8.92,9.06,-0.44,"2,600.00","23,485.00"
47,2025-12-11,9.28,9.28,9.1,9.1,0.0,"25,900.00","235,732.00"
48,2025-12-10,9.0,9.1,9.0,9.1,-0.11,400.00,"3,630.00"
49,2025-12-09,9.1,9.11,9.1,9.11,-1.3,"3,600.00","32,793.00"
50,2025-12-08,9.1,9.23,9.02,9.23,-0.11,"28,250.00","258,083.00"
51,2025-12-07,9.11,9.24,9.11,9.24,-0.43,"12,000.00","109,335.00"
52,2025-12-03,9.18,9.28,9.05,9.28,3.11,"3,400.00","31,073.00"
53,2025-12-02,9.05,9.11,9.0,9.0,-1.21,"78,500.00","708,971.00"
54,2025-12-01,9.05,9.28,9.05,9.11,0.11,"24,200.00","223,480.00"
55,2025-11-30,9.1,9.1,9.1,9.1,-0.55,100.00,910.00
56,2025-11-27,9.15,9.18,9.15,9.15,-1.08,"9,660.00","88,432.00"
57,2025-11-26,9.05,9.25,9.0,9.25,1.87,"18,150.00","165,810.00"
58,2025-11-25,9.12,9.12,9.0,9.08,-2.37,"12,500.00","113,817.00"
59,2025-11-24,9.01,9.3,9.01,9.3,1.75,"35,650.00","325,438.90"
60,2025-11-23,9.0,9.17,9.0,9.14,0.11,"6,410.00","57,956.00"
61,2025-11-20,9.0,9.13,9.0,9.13,1.44,"50,666.00","457,972.27"
62,2025-11-19,9.08,9.1,8.95,9.0,-1.32,"48,400.00","437,486.00"
63,2025-11-18,9.2,9.2,9.1,9.12,0.22,"1,250.00","11,421.00"
64,2025-11-17,9.0,9.1,9.0,9.1,1.22,"5,110.00","46,415.40"
65,2025-11-16,9.0,9.15,8.86,8.99,-1.21,"121,150.00","1,076,544.10"
66,2025-11-13,9.14,9.14,8.99,9.1,-0.66,"27,894.00","252,481.76"
67,2025-11-12,9.1,9.16,9.1,9.16,0.0,"1,150.00","10,520.00"
68,2025-11-11,9.28,9.28,9.1,9.16,0.66,"18,330.00","168,612.60"
69,2025-11-10,9.2,9.2,9.1,9.1,-2.99,"26,700.00","245,620.00"
70,2025-11-09,9.15,9.38,9.0,9.38,2.51,"16,030.00","148,825.30"
71,2025-11-06,9.1,9.38,9.1,9.15,-1.08,"29,300.00","271,892.70"
72,2025-11-05,9.07,9.36,9.07,9.25,1.09,"5,500.00","50,778.60"
73,2025-11-04,9.04,9.36,9.04,9.15,1.1,"5,100.00","46,840.00"
74,2025-11-03,9.07,9.07,9.05,9.05,-0.55,"6,300.00","57,120.00"
75,2025-11-02,9.08,9.1,9.07,9.1,-1.19,"4,100.00","37,247.00"
76,2025-10-30,9.21,9.34,9.04,9.21,-1.92,"15,050.00","137,894.00"
77,2025-10-29,9.07,9.39,9.07,9.39,1.51,"1,060.00","9,706.00"
78,2025-10-28,9.0,9.25,8.99,9.25,1.65,"5,350.00","48,679.00"
79,2025-10-26,9.0,9.28,9.0,9.1,0.44,"9,990.00","91,622.20"
80,2025-10-19,9.23,9.32,9.06,9.06,-1.84,"20,700.00","191,093.50"
81,2025-10-16,9.05,9.23,9.05,9.23,0.33,"5,000.00","45,563.00"
82,2025-10-15,9.02,9.2,9.02,9.2,0.0,600.00,"5,492.00"
83,2025-10-14,8.94,9.2,8.94,9.2,0.88,"15,200.00","138,410.00"
84,2025-10-13,8.96,9.12,8.96,9.12,0.0,"11,500.00","104,833.00"
85,2025-10-12,9.3,9.4,9.12,9.12,-2.04,"27,800.00","253,976.00"
86,2025-10-09,9.22,9.39,9.17,9.31,-0.96,"54,765.00","510,246.00"
87,2025-10-08,9.49,9.49,9.4,9.4,0.97,"3,000.00","28,245.00"
88,2025-10-07,9.25,9.31,9.07,9.31,0.98,"12,050.00","110,481.50"
89,2025-09-28,9.1,9.31,9.0,9.22,1.21,"28,400.00","260,316.00"
90,2025-09-25,9.05,9.23,9.04,9.11,-1.19,"1,000.00","9,118.00"
91,2025-09-24,9.31,9.31,9.22,9.22,0.0,"1,630.00","15,119.50"
92,2025-09-23,8.87,9.37,8.87,9.22,1.99,"33,717.00","308,332.94"
93,2025-09-21,8.91,9.05,8.6,9.04,-0.55,"96,850.00","858,203.00"
94,2025-09-08,9.25,9.26,9.08,9.09,-3.3,"28,200.00","257,192.00"
95,2025-09-07,9.32,9.42,9.17,9.4,0.86,"20,200.00","188,998.50"
96,2025-09-04,9.32,9.38,9.32,9.32,-0.32,"14,776.00","138,436.28"
97,2025-09-03,9.19,9.42,9.19,9.35,0.43,"34,400.00","319,081.00"
98,2025-09-02,9.3,9.43,9.23,9.31,0.65,"2,400.00","22,347.00"
99,2025-09-01,9.19,9.36,9.18,9.25,-0.22,"19,000.00","175,631.80"
100,2025-08-31,9.1,9.45,9.1,9.27,0.0,"9,100.00","85,114.00"
101,2025-08-28,9.11,9.29,9.11,9.27,-0.11,"32,250.00","298,126.50"
102,2025-08-27,9.35,9.37,9.17,9.28,-0.75,"54,950.00","505,899.60"
103,2025-08-26,9.5,9.52,9.18,9.35,-0.11,"22,830.00","211,867.90"
104,2025-08-25,9.19,9.36,9.0,9.36,0.21,"50,526.00","460,450.80"
105,2025-08-24,9.42,9.5,9.07,9.34,-2.61,"91,693.00","841,379.24"
106,2025-08-21,11.61,11.73,11.41,11.69,1.74,"752,775.00","8,711,659.68"
