S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,501.20,513.00,501.20,512.00,1.45,"6,456.00","3,275,633.60"
2,2026-02-25,514.7,514.7,503.0,504.7,-1.0,"9,104.00","4,596,932.70"
3,2026-02-24,505.9,515.0,504.7,509.8,0.35,"3,216.00","1,634,164.30"
4,2026-02-23,513.8,513.8,502.0,508.0,0.2,"5,213.00","2,633,836.00"
5,2026-02-22,495.0,511.0,495.0,507.0,2.42,"23,194.00","11,634,802.90"
6,2026-02-17,498.0,505.0,490.0,495.0,-2.25,"33,994.00","16,806,739.70"
7,2026-02-16,502.0,506.9,495.5,506.4,0.88,"15,134.00","7,575,298.30"
8,2026-02-12,506.9,507.8,500.0,502.0,-0.99,"12,055.00","6,064,479.70"
9,2026-02-11,505.0,508.0,500.0,507.0,0.2,"9,456.00","4,758,709.00"
10,2026-02-10,495.1,507.0,495.1,506.0,0.2,"8,753.00","4,387,452.50"
11,2026-02-09,510.0,511.0,503.0,505.0,-1.94,"6,936.00","3,507,246.90"
12,2026-02-08,523.0,524.0,515.0,515.0,-0.19,"9,317.00","4,810,982.30"
13,2026-02-05,510.0,516.1,505.2,516.0,1.18,"4,584.00","2,351,092.90"
14,2026-02-04,518.9,518.9,503.5,510.0,-0.2,"3,827.00","1,933,732.10"
15,2026-02-03,513.0,515.0,502.0,511.0,-0.39,"8,760.00","4,458,353.00"
16,2026-02-02,507.3,516.8,506.1,513.0,-0.77,"11,162.00","5,689,965.30"
17,2026-02-01,513.0,520.0,513.0,517.0,0.66,"14,696.00","7,593,826.20"
18,2026-01-29,510.1,525.0,510.1,513.6,-1.21,"11,453.00","5,916,824.00"
19,2026-01-28,515.0,519.9,512.5,519.9,0.76,"5,375.00","2,774,282.80"
20,2026-01-27,521.5,530.0,515.0,516.0,-2.64,"13,235.00","6,890,194.60"
21,2026-01-26,540.0,540.0,525.2,530.0,-0.93,"10,483.00","5,535,203.50"
22,2026-01-25,524.0,539.0,520.1,535.0,2.12,"11,493.00","6,093,985.90"
23,2026-01-22,517.0,525.0,516.5,523.9,0.17,"5,507.00","2,858,172.80"
24,2026-01-21,520.1,525.0,515.0,523.0,-0.57,"7,735.00","4,023,167.90"
25,2026-01-20,515.0,529.9,505.1,526.0,2.2,"19,072.00","9,980,146.00"
26,2026-01-18,514.7,514.7,498.0,514.7,1.94,"11,010.00","5,561,789.40"
27,2026-01-14,498.0,505.0,497.0,504.9,0.18,"2,451.00","1,230,349.40"
28,2026-01-13,500.0,507.0,499.0,504.0,-0.69,"3,510.00","1,769,819.20"
29,2026-01-12,508.9,512.0,500.1,507.5,-0.28,"5,763.00","2,899,249.40"
30,2026-01-08,506.0,509.0,500.0,508.9,0.57,"5,181.00","2,620,519.70"
31,2026-01-07,507.0,507.0,500.1,506.0,-0.2,"7,187.00","3,620,334.40"
32,2026-01-06,514.9,514.9,504.0,507.0,0.2,"13,087.00","6,625,649.60"
33,2026-01-05,500.0,507.0,500.0,506.0,0.0,"1,475.00","741,257.90"
34,2026-01-04,513.0,513.0,502.5,506.0,-0.2,"15,209.00","7,696,616.20"
35,2026-01-01,512.7,512.7,504.2,507.0,-1.36,"8,509.00","4,320,647.30"
36,2025-12-31,506.5,515.0,506.5,514.0,0.78,"10,985.00","5,639,392.60"
37,2025-12-29,504.0,511.0,501.0,510.0,0.0,"17,159.00","8,695,123.40"
38,2025-12-28,500.0,510.0,495.0,510.0,2.0,"24,244.00","12,235,351.20"
39,2025-12-24,491.0,501.0,491.0,500.0,-0.2,"5,555.00","2,766,955.50"
40,2025-12-23,500.0,501.0,490.0,501.0,0.83,"7,964.00","3,976,212.80"
41,2025-12-22,494.0,496.9,485.0,496.9,-1.39,"4,436.00","2,170,892.00"
42,2025-12-21,488.1,503.9,482.1,503.9,1.18,"12,659.00","6,275,395.20"
43,2025-12-18,507.9,507.9,481.0,498.0,0.0,"5,491.00","2,717,352.70"
44,2025-12-17,491.9,498.0,490.0,498.0,1.74,"6,178.00","3,032,237.30"
45,2025-12-16,486.1,492.0,476.1,489.5,1.56,"2,532.00","1,232,615.30"
46,2025-12-15,485.0,493.0,480.0,482.0,-1.43,"11,446.00","5,524,538.90"
47,2025-12-14,490.0,497.3,487.6,489.0,-1.41,"8,204.00","4,026,821.40"
48,2025-12-11,495.9,496.0,486.6,496.0,0.02,"3,282.00","1,621,767.20"
49,2025-12-10,500.0,500.0,488.0,495.9,-0.72,"4,663.00","2,285,764.90"
50,2025-12-09,500.0,503.0,495.0,499.5,0.5,"2,797.00","1,394,502.10"
51,2025-12-08,490.0,504.8,490.0,497.0,-0.18,"9,146.00","4,534,620.80"
52,2025-12-07,504.0,504.0,491.2,497.9,0.0,"9,778.00","4,837,315.80"
53,2025-12-03,500.0,508.0,494.0,497.9,-0.42,"9,669.00","4,816,739.20"
