S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,724.00,739.00,710.00,738.80,3.33,"25,754.00","18,712,927.10"
2,2026-02-04,696.80,730.90,696.80,715.00,0.56,"10,096.00","7,180,627.90"
3,2026-02-03,729.40,729.40,709.00,711.00,-1.39,"8,799.00","6,270,650.60"
4,2026-02-02,732.00,732.00,717.30,721.00,0.28,"14,202.00","10,231,669.60"
5,2026-02-01,749.00,749.00,715.20,719.00,-2.18,"17,042.00","12,344,555.30"
6,2026-01-29,750.00,750.00,724.00,735.00,-0.15,"16,088.00","11,861,483.80"
7,2026-01-28,731.00,763.40,724.00,736.10,0.29,"14,337.00","10,557,544.30"
8,2026-01-27,740.00,769.70,733.00,734.00,-2.78,"25,343.00","18,913,341.30"
9,2026-01-26,740.90,755.00,736.00,755.00,2.3,"48,074.00","35,817,027.20"
10,2026-01-25,746.60,746.60,728.00,738.00,0.68,"26,272.00","19,248,465.20"
11,2026-01-22,741.00,741.00,715.50,733.00,0.41,"19,878.00","14,362,576.80"
12,2026-01-21,725.00,734.40,721.10,730.00,0.27,"20,541.00","14,908,936.80"
13,2026-01-20,737.00,740.00,724.00,728.00,0.4,"13,810.00","10,129,601.80"
14,2026-01-18,710.90,725.10,702.20,725.10,4.03,"33,410.00","23,835,843.40"
15,2026-01-14,709.90,709.90,696.00,697.00,-0.43,"12,469.00","8,755,014.50"
16,2026-01-13,705.00,710.00,693.00,700.00,-0.64,"9,030.00","6,350,186.30"
17,2026-01-12,707.90,707.90,694.00,704.50,1.08,"9,201.00","6,450,592.10"
18,2026-01-08,703.00,703.00,691.00,697.00,0.29,"8,867.00","6,175,077.70"
19,2026-01-07,695.00,705.80,691.00,695.00,0.0,"12,278.00","8,567,324.90"
20,2026-01-06,706.60,706.60,690.00,695.00,0.29,"11,844.00","8,254,694.20"
21,2026-01-05,680.00,693.00,678.00,693.00,0.58,"16,390.00","11,254,519.00"
22,2026-01-04,685.00,689.00,675.00,689.00,0.73,"13,960.00","9,485,467.10"
23,2026-01-01,696.60,696.60,674.00,684.00,0.15,"10,947.00","7,438,394.80"
24,2025-12-31,678.00,685.00,678.00,683.00,0.47,"9,848.00","6,719,808.10"
25,2025-12-29,689.00,690.00,675.00,679.80,-0.03,"18,009.00","12,260,359.90"
26,2025-12-28,657.10,684.00,657.00,680.00,3.5,"17,252.00","11,611,186.30"
27,2025-12-24,643.10,671.00,643.10,657.00,0.98,"3,865.00","2,532,308.40"
28,2025-12-23,660.00,660.00,649.00,650.60,0.09,"4,924.00","3,211,113.20"
29,2025-12-22,660.10,668.90,646.80,650.00,-2.11,"16,162.00","10,571,076.00"
30,2025-12-21,661.50,670.00,661.50,664.00,-0.9,"8,192.00","5,438,199.60"
31,2025-12-18,681.00,681.10,670.00,670.00,-0.15,"7,537.00","5,060,121.00"
32,2025-12-17,668.00,674.00,668.00,671.00,0.15,"5,745.00","3,858,703.80"
33,2025-12-16,671.00,673.70,662.00,670.00,0.18,"2,490.00","1,662,260.30"
34,2025-12-15,661.00,669.90,661.00,668.80,0.42,"4,409.00","2,937,410.70"
35,2025-12-14,665.00,673.70,665.00,666.00,-0.3,"11,378.00","7,605,976.20"
36,2025-12-11,660.10,673.00,660.10,668.00,0.3,"4,819.00","3,204,341.60"
37,2025-12-10,681.00,681.00,662.70,666.00,-0.45,"4,657.00","3,092,187.80"
38,2025-12-09,661.70,669.80,661.20,669.00,-0.19,"6,250.00","4,151,570.20"
39,2025-12-08,674.00,675.00,670.00,670.30,-0.7,"4,337.00","2,912,640.70"
40,2025-12-07,676.00,677.90,673.00,675.00,-1.03,"6,423.00","4,337,939.50"
41,2025-12-03,696.70,696.70,666.00,682.00,-0.16,"11,949.00","8,082,660.60"
42,2025-12-02,689.40,689.40,680.00,683.10,-0.28,"7,770.00","5,300,520.30"
43,2025-12-01,695.00,695.00,679.00,685.00,0.29,"18,594.00","12,765,717.00"
44,2025-11-30,685.00,700.00,681.10,683.00,0.12,"22,462.00","15,463,029.50"
45,2025-11-27,690.00,690.00,679.00,682.20,0.32,"9,834.00","6,700,865.40"
46,2025-11-26,690.00,695.00,679.00,680.00,-1.02,"15,315.00","10,485,748.10"
47,2025-11-25,688.00,688.00,674.40,687.00,1.39,"29,400.00","19,980,816.40"
48,2025-11-24,674.00,715.00,671.00,677.60,2.36,"54,914.00","37,356,117.50"
49,2025-11-23,650.00,680.00,650.00,662.00,2.16,"16,993.00","11,363,213.60"
50,2025-11-20,664.90,664.90,646.10,648.00,-1.23,"7,730.00","5,023,187.10"
51,2025-11-19,674.70,674.70,656.10,656.10,-1.0,"6,735.00","4,431,967.90"
52,2025-11-18,653.00,663.90,653.00,662.70,1.35,"4,426.00","2,922,519.50"
53,2025-11-17,660.00,660.00,637.30,653.90,0.77,"9,289.00","6,026,247.40"
54,2025-11-16,662.00,662.00,641.20,648.90,-0.63,"6,350.00","4,095,290.40"
55,2025-11-13,651.00,654.90,644.00,653.00,-0.31,"2,308.00","1,504,411.50"
56,2025-11-12,653.00,663.00,648.90,655.00,0.31,"20,910.00","13,662,865.30"
57,2025-11-11,661.90,661.90,646.30,653.00,0.46,"7,467.00","4,847,145.70"
58,2025-11-10,655.00,655.00,637.00,650.00,1.04,"10,183.00","6,577,204.20"
59,2025-11-09,656.00,665.00,643.30,643.30,-3.26,"13,183.00","8,556,550.10"
60,2025-11-06,664.10,675.00,660.00,665.00,-0.45,"19,384.00","12,864,359.50"
61,2025-11-05,678.00,678.00,660.40,668.00,0.3,"3,322.00","2,202,916.40"
62,2025-11-04,675.00,678.50,658.00,666.00,-1.33,"7,822.00","5,198,417.80"
63,2025-11-03,690.00,695.00,668.00,675.00,-1.32,"12,244.00","8,252,732.30"
64,2025-11-02,660.00,684.00,660.00,684.00,4.22,"44,450.00","29,872,388.70"
65,2025-10-30,670.00,670.00,636.00,656.30,-0.12,"18,507.00","11,982,810.50"
66,2025-10-29,673.00,683.70,657.00,657.10,-0.44,"2,667.00","1,771,807.40"
67,2025-10-28,642.00,693.00,634.10,660.00,3.46,"7,386.00","4,794,931.80"
