S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,465.50,471.90,465.50,467.00,-0.64,"17,427.00","8,153,089.00"
2,2026-02-16,475.0,475.0,469.0,470.0,-0.82,"13,159.00","6,214,599.30"
3,2026-02-12,473.0,476.8,470.1,473.9,-0.23,"15,794.00","7,458,521.10"
4,2026-02-11,476.0,476.0,464.6,475.0,0.21,"35,276.00","16,558,522.90"
5,2026-02-10,470.0,475.0,469.0,474.0,-0.21,"16,584.00","7,818,327.80"
6,2026-02-09,490.0,490.0,475.0,475.0,-2.66,"20,127.00","9,597,659.50"
7,2026-02-08,492.4,492.9,479.0,488.0,0.58,"21,431.00","10,413,902.30"
8,2026-02-05,471.0,488.5,470.7,485.2,2.19,"44,654.00","21,456,185.50"
9,2026-02-04,471.0,480.0,471.0,474.8,-0.25,"22,451.00","10,663,725.60"
10,2026-02-03,475.0,479.9,473.1,476.0,-0.83,"12,184.00","5,780,501.80"
11,2026-02-02,473.0,480.0,470.6,480.0,1.27,"25,831.00","12,266,896.00"
12,2026-02-01,480.1,486.0,474.0,474.0,-1.66,"21,548.00","10,253,755.10"
13,2026-01-29,493.1,493.1,482.0,482.0,-1.25,"26,058.00","12,670,694.20"
14,2026-01-28,495.0,495.1,487.2,488.1,-1.39,"28,001.00","13,717,963.10"
15,2026-01-27,500.0,505.0,495.0,495.0,-1.39,"42,045.00","20,918,121.00"
16,2026-01-26,500.0,510.0,495.5,502.0,0.0,"36,845.00","18,538,496.60"
17,2026-01-25,488.0,504.0,488.0,502.0,2.45,"36,385.00","18,215,437.30"
18,2026-01-22,496.0,496.0,486.8,490.0,-0.81,"17,854.00","8,743,717.00"
19,2026-01-21,491.3,499.9,489.0,494.0,-0.8,"28,841.00","14,183,666.20"
20,2026-01-20,497.5,499.0,490.0,498.0,2.05,"38,866.00","19,277,333.60"
21,2026-01-18,490.0,495.0,481.0,488.0,-0.41,"30,062.00","14,710,402.90"
22,2026-01-14,480.2,491.5,480.2,490.0,1.68,"30,261.00","14,737,057.80"
23,2026-01-13,474.1,485.0,474.1,481.9,0.77,"9,001.00","4,324,292.40"
24,2026-01-12,472.1,481.0,472.1,478.2,0.27,"8,188.00","3,923,683.80"
25,2026-01-08,470.0,476.9,470.0,476.9,-0.02,"6,654.00","3,148,640.40"
26,2026-01-07,476.0,482.0,469.2,477.0,0.0,"8,562.00","4,091,550.50"
27,2026-01-06,480.9,485.0,475.0,477.0,-0.17,"17,516.00","8,405,275.60"
28,2026-01-05,470.1,477.8,463.0,477.8,1.23,"24,220.00","11,432,691.60"
29,2026-01-04,469.1,474.8,469.1,472.0,-1.26,"7,973.00","3,759,923.70"
30,2026-01-01,473.3,480.0,471.2,478.0,-1.01,"12,266.00","5,829,174.30"
31,2025-12-31,476.0,485.0,476.0,482.9,-0.23,"9,685.00","4,679,819.90"
32,2025-12-29,477.2,485.0,477.2,484.0,-0.1,"10,802.00","5,193,367.20"
33,2025-12-28,475.0,485.0,475.0,484.5,2.65,"18,791.00","9,010,398.60"
34,2025-12-24,462.1,475.0,462.1,472.0,0.64,"7,273.00","3,420,538.20"
35,2025-12-23,460.1,469.0,460.1,469.0,1.3,"2,811.00","1,306,013.90"
36,2025-12-22,465.0,465.0,458.2,463.0,-0.75,"9,351.00","4,316,541.20"
