S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-16,696.00,696.00,682.10,689.70,-0.75,"2,859.00","1,962,215.80"
2,2026-02-12,680.00,698.70,680.00,694.90,0.86,"3,762.00","2,594,203.20"
3,2026-02-11,699.80,712.00,680.00,689.00,0.42,"4,874.00","3,367,509.20"
4,2026-02-10,688.00,704.80,686.10,686.10,-1.99,"8,166.00","5,637,946.10"
5,2026-02-09,704.00,710.00,690.00,700.00,-2.1,"18,888.00","13,180,420.40"
6,2026-02-08,704.00,725.00,702.50,715.00,0.56,"8,954.00","6,324,834.10"
7,2026-02-05,706.00,712.80,700.00,711.00,-0.04,"4,862.00","3,420,555.90"
8,2026-02-04,715.00,723.00,710.20,711.30,0.32,"1,421.00","1,012,647.50"
9,2026-02-03,706.00,710.00,702.50,709.00,0.42,"2,758.00","1,948,228.30"
10,2026-02-02,705.20,714.00,705.10,706.00,-0.98,"2,277.00","1,608,018.20"
11,2026-02-01,716.00,716.00,705.00,713.00,0.0,"4,589.00","3,267,397.20"
12,2026-01-29,736.40,736.40,712.00,713.00,-1.25,"10,976.00","7,882,529.10"
13,2026-01-28,733.30,733.30,712.00,722.00,0.42,"5,626.00","4,040,557.30"
14,2026-01-27,730.00,730.00,710.80,719.00,-2.31,"15,749.00","11,358,034.30"
15,2026-01-26,736.10,748.00,734.10,736.00,-0.51,"18,842.00","13,945,879.20"
16,2026-01-25,741.00,745.00,724.40,739.80,0.11,"28,358.00","20,981,817.80"
17,2026-01-22,744.50,744.50,720.30,739.00,0.41,"11,589.00","8,481,413.60"
18,2026-01-21,726.00,740.00,725.00,736.00,-0.46,"10,688.00","7,856,839.80"
19,2026-01-20,720.00,763.00,715.00,739.40,2.69,"19,976.00","14,637,460.00"
20,2026-01-18,724.70,724.70,712.00,720.00,0.42,"5,354.00","3,846,844.30"
21,2026-01-14,710.50,719.90,710.50,717.00,0.03,"4,304.00","3,076,533.80"
22,2026-01-13,716.80,716.80,705.00,716.80,0.31,"5,862.00","4,178,328.30"
23,2026-01-12,705.00,715.00,705.00,714.60,0.51,"4,718.00","3,352,044.30"
24,2026-01-08,713.00,713.00,700.10,711.00,-0.28,"4,475.00","3,154,960.60"
25,2026-01-07,710.00,718.00,708.20,713.00,-0.21,"9,076.00","6,469,380.50"
26,2026-01-06,730.80,730.80,708.00,714.50,-0.35,"8,594.00","6,110,468.40"
27,2026-01-05,716.00,719.10,702.00,717.00,-1.65,"15,547.00","11,071,077.10"
28,2026-01-04,743.90,743.90,707.10,729.00,-3.95,"12,685.00","9,167,441.50"
29,2026-01-01,760.00,770.70,752.20,759.00,0.13,"86,592.00","65,953,095.60"
30,2025-12-31,754.00,760.00,752.10,758.00,0.85,"29,115.00","21,987,939.80"
31,2025-12-29,759.00,760.60,749.10,751.60,-0.05,"20,577.00","15,504,442.60"
32,2025-12-28,740.00,752.90,740.00,752.00,1.62,"19,251.00","14,382,277.50"
33,2025-12-24,733.00,742.90,725.20,740.00,0.38,"9,018.00","6,648,949.50"
34,2025-12-23,735.00,739.00,735.00,737.20,0.16,"6,632.00","4,886,056.80"
