S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-12,"1,351.00","1,380.00","1,351.00","1,370.00",0.15,"3,190.00","4,370,856.70"
2,2026-02-11,"1,395.00","1,422.90","1,360.00","1,368.00",0.0,"3,357.00","4,605,713.00"
3,2026-02-10,"1,380.00","1,400.00","1,366.30","1,368.00",-0.94,"2,948.00","4,037,129.10"
4,2026-02-09,"1,376.00","1,402.00","1,365.00","1,381.00",-0.29,"5,585.00","7,729,271.20"
5,2026-02-08,"1,387.00","1,400.00","1,380.10","1,385.00",-0.93,"7,180.00","9,984,886.80"
6,2026-02-05,"1,391.00","1,409.90","1,379.00","1,398.00",0.58,"7,882.00","10,945,961.10"
7,2026-02-04,"1,419.00","1,419.00","1,387.00","1,390.00",-0.5,"3,906.00","5,454,968.60"
8,2026-02-03,"1,395.10","1,428.00","1,395.10","1,397.00",-0.99,"3,228.00","4,523,907.00"
9,2026-02-02,"1,410.00","1,445.00","1,390.00","1,411.00",1.51,"4,888.00","6,936,547.40"
10,2026-02-01,"1,425.00","1,425.00","1,386.10","1,390.00",-1.43,"4,614.00","6,447,067.70"
11,2026-01-29,"1,468.00","1,468.80","1,410.10","1,410.10",-2.08,"5,228.00","7,466,780.90"
12,2026-01-28,"1,423.00","1,460.00","1,419.10","1,440.00",-0.35,"8,684.00","12,482,991.90"
13,2026-01-27,"1,455.10","1,501.00","1,440.10","1,445.00",-2.36,"17,576.00","25,750,092.70"
14,2026-01-26,"1,480.00","1,500.00","1,451.10","1,480.00",0.0,"9,388.00","13,830,265.80"
15,2026-01-25,"1,415.00","1,502.40","1,415.00","1,480.00",4.45,"16,067.00","23,503,859.00"
16,2026-01-22,"1,392.20","1,417.00","1,392.20","1,417.00",-0.07,"3,322.00","4,670,146.50"
17,2026-01-21,"1,400.00","1,425.00","1,399.00","1,418.00",0.21,"4,239.00","5,962,166.90"
18,2026-01-20,"1,409.00","1,428.00","1,405.00","1,415.00",1.14,"2,559.00","3,625,110.70"
19,2026-01-18,"1,369.20","1,414.00","1,369.20","1,399.00",2.27,"4,933.00","6,879,765.40"
20,2026-01-14,"1,390.00","1,398.00","1,368.00","1,368.00",-2.15,"3,977.00","5,503,628.10"
21,2026-01-13,"1,400.00","1,410.00","1,395.00","1,398.00",-0.22,"2,219.00","3,113,550.80"
22,2026-01-12,"1,391.10","1,410.00","1,391.10","1,401.10",-0.63,"3,409.00","4,785,433.20"
23,2026-01-08,"1,375.10","1,425.00","1,375.10","1,410.00",0.71,"5,500.00","7,729,706.70"
24,2026-01-07,"1,425.00","1,440.00","1,398.10","1,400.00",-1.75,"6,812.00","9,604,153.60"
25,2026-01-06,"1,400.00","1,455.00","1,400.00","1,425.00",1.79,"8,769.00","12,476,008.50"
26,2026-01-05,"1,355.00","1,400.00","1,355.00","1,400.00",3.32,"6,550.00","9,056,158.80"
27,2026-01-04,"1,351.00","1,381.00","1,347.00","1,355.00",-0.37,"6,633.00","9,050,360.20"
28,2026-01-01,"1,361.20","1,387.00","1,358.00","1,360.00",-0.37,"2,394.00","3,261,817.40"
29,2025-12-31,"1,370.50","1,387.00","1,360.00","1,365.00",-0.65,"6,837.00","9,361,076.40"
30,2025-12-29,"1,367.50","1,390.00","1,367.50","1,373.90",0.53,"2,761.00","3,806,211.70"
31,2025-12-28,"1,354.00","1,385.00","1,354.00","1,366.60",0.39,"3,462.00","4,752,898.00"
32,2025-12-24,"1,366.00","1,370.00","1,361.30","1,361.30",-0.37,"2,038.00","2,788,005.30"
33,2025-12-23,"1,355.00","1,370.80","1,350.00","1,366.30",0.67,"2,550.00","3,482,510.50"
34,2025-12-22,"1,345.20","1,370.00","1,345.00","1,357.20",-0.21,"1,838.00","2,493,777.60"
35,2025-12-21,"1,371.00","1,380.00","1,357.00","1,360.00",-0.07,"5,697.00","7,790,126.50"
36,2025-12-18,"1,370.00","1,370.00","1,343.00","1,361.00",0.96,"5,060.00","6,885,870.00"
37,2025-12-17,"1,345.00","1,366.00","1,345.00","1,348.00",-0.15,"2,523.00","3,426,983.50"
38,2025-12-16,"1,345.00","1,360.00","1,345.00","1,350.00",0.22,"2,306.00","3,121,270.80"
39,2025-12-15,"1,340.00","1,359.00","1,339.10","1,347.00",-0.22,"2,264.00","3,045,657.00"
40,2025-12-14,"1,350.00","1,369.90","1,338.20","1,350.00",-0.74,"5,010.00","6,736,323.00"
41,2025-12-11,"1,455.30","1,455.30","1,349.10","1,360.00",-8.42,"10,806.00","14,724,277.10"
42,2025-12-10,"1,341.00","1,485.00","1,341.00","1,485.00",10.0,"7,731.00","10,488,745.70"
43,2025-12-09,"1,341.00","1,356.00","1,341.00","1,350.00",0.67,"2,352.00","3,169,666.50"
44,2025-12-08,"1,348.00","1,368.00","1,340.80","1,341.00",-1.29,"3,665.00","4,926,386.70"
45,2025-12-07,"1,392.00","1,392.00","1,346.00","1,358.50",-0.47,"3,833.00","5,193,051.80"
46,2025-12-03,"1,385.10","1,395.00","1,350.00","1,364.90",-1.45,"5,756.00","7,860,223.30"
47,2025-12-02,"1,375.00","1,400.00","1,375.00","1,385.00",-0.93,"1,643.00","2,275,719.80"
48,2025-12-01,"1,385.00","1,404.00","1,382.00","1,398.00",0.35,"1,898.00","2,642,663.30"
49,2025-11-30,"1,400.90","1,424.00","1,393.10","1,393.10",-1.06,"3,827.00","5,382,121.50"
50,2025-11-27,"1,408.00","1,420.00","1,400.20","1,408.00",0.5,"5,130.00","7,221,532.80"
51,2025-11-26,"1,380.00","1,410.00","1,372.00","1,401.00",1.52,"3,968.00","5,545,442.10"
52,2025-11-25,"1,375.00","1,400.00","1,375.00","1,380.00",-0.43,"4,837.00","6,709,695.10"
