S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-21,252.00,252.00,252.00,252.00,0.00,"50,000.00","12,600,000.00"
2,2025-01-07,388.0,388.0,388.0,388.0,0.0,"2,000.00","776,000.00"
3,2024-10-06,312.0,312.0,312.0,312.0,0.0,"530,000.00","145,750,000.00"
4,2024-05-16,312.0,312.0,312.0,312.0,1.3,"75,426.00","23,532,912.00"
5,2024-03-07,308.0,308.0,308.0,308.0,0.0,"25,000.00","7,700,000.00"
6,2024-03-06,308.0,308.0,308.0,308.0,0.0,"50,000.00","15,400,000.00"
7,2024-03-05,308.0,308.0,308.0,308.0,0.0,"50,000.00","15,400,000.00"
8,2023-12-19,365.0,365.0,365.0,365.0,-4.45,"214,699.00","78,365,135.00"
9,2023-08-10,382.0,382.0,382.0,382.0,0.0,"20,000.00","7,640,000.00"
10,2023-03-14,340.1,340.1,340.1,340.1,0.0,"12,267.00","4,172,006.70"
11,2023-03-05,340.1,340.1,340.1,340.1,-1.99,"114,500.00","38,941,450.00"
12,2022-12-01,274.0,274.0,274.0,274.0,0.0,"12,500.00","3,425,000.00"
13,2022-07-03,317.0,317.0,317.0,317.0,0.0,"94,095.00","29,828,115.00"
14,2022-01-19,679.0,679.0,679.0,679.0,0.0,"140,800.00","70,537,984.00"
15,2021-11-30,679.0,679.0,679.0,679.0,0.0,"3,648.00","2,476,992.00"
16,2021-09-20,657.0,657.0,657.0,657.0,-1.94,"10,000.00","6,570,000.00"
17,2021-09-14,683.1,683.1,670.0,670.0,-3.87,"20,000.00","13,401,310.00"
18,2021-07-28,697.0,697.0,697.0,697.0,0.0,"50,000.00","34,850,000.00"
19,2021-07-27,697.0,697.0,697.0,697.0,0.0,"216,000.00","139,182,660.00"
20,2021-01-18,380.0,380.0,380.0,380.0,0.0,"2,285.00","868,300.00"
21,2020-12-28,380.0,380.0,380.0,380.0,0.0,"5,988.00","2,275,440.00"
22,2020-12-03,380.0,380.0,380.0,380.0,0.0,"200,000.00","76,000,000.00"
23,2020-11-18,110.0,110.0,110.0,110.0,0.0,"178,410.00","19,625,100.00"
24,2020-10-11,384.0,384.0,384.0,384.0,-1.79,"16,755.00","6,433,920.00"
25,2020-09-06,391.0,391.0,391.0,391.0,0.0,"55,576.00","21,730,200.00"
26,2020-08-31,391.0,391.0,391.0,391.0,0.0,"150,000.00","58,650,000.00"
