S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,100.00,100.00,100.00,100.00,0.00,"195,382.00","19,538,200.00"
2,2026-01-13,100.0,100.0,100.0,100.0,0.0,"17,231.00","1,809,255.00"
3,2025-12-24,100.0,100.0,100.0,100.0,0.0,"23,414.00","2,341,400.00"
4,2025-12-21,100.0,100.0,100.0,100.0,0.0,"17,245.00","1,724,500.00"
5,2025-12-14,100.0,100.0,100.0,100.0,0.0,"137,301.00","13,730,100.00"
6,2025-12-10,100.0,100.0,100.0,100.0,0.0,"21,915.00","2,191,500.00"
7,2025-11-09,100.0,100.0,100.0,100.0,-1.96,"747,616.00","74,761,600.00"
8,2025-09-21,102.0,102.0,102.0,102.0,0.0,"7,554.00","770,508.00"
9,2025-09-03,102.0,102.0,102.0,102.0,-1.92,"1,922.00","196,044.00"
10,2025-08-24,104.0,104.0,104.0,104.0,-1.89,"34,490.00","3,586,960.00"
11,2025-08-19,106.0,106.0,106.0,106.0,-1.85,"5,187.00","549,822.00"
12,2025-08-14,108.0,108.0,108.0,108.0,0.0,"15,000.00","1,620,000.00"
13,2025-08-13,108.0,108.0,108.0,108.0,-1.82,"12,000.00","1,296,000.00"
14,2025-08-12,110.0,110.0,110.0,110.0,0.0,"10,335.00","1,136,850.00"
15,2025-07-28,110.0,110.0,110.0,110.0,-1.79,"17,244.00","1,896,840.00"
16,2025-07-27,112.0,112.0,112.0,112.0,0.0,"3,450.00","386,400.00"
17,2025-07-24,112.0,112.0,112.0,112.0,-1.75,"16,479.00","1,845,648.00"
18,2025-07-22,114.0,114.0,114.0,114.0,0.0,"16,000.00","1,824,000.00"
19,2025-07-02,114.0,114.0,114.0,114.0,0.26,"2,500.00","285,000.00"
20,2025-06-22,113.7,113.7,113.7,113.7,-1.98,"30,045.00","3,416,116.50"
21,2025-06-19,116.0,116.0,116.0,116.0,0.0,"11,921.00","1,382,836.00"
22,2025-06-18,120.0,120.0,116.0,116.0,-3.33,"120,993.00","14,207,810.40"
23,2025-06-17,120.0,120.0,120.0,120.0,0.0,"96,980.00","11,637,600.00"
24,2025-06-12,120.0,120.0,120.0,120.0,0.0,"16,023.00","1,922,760.00"
25,2025-06-10,120.0,120.0,120.0,120.0,0.0,"4,927.00","591,240.00"
26,2025-06-09,120.0,120.0,120.0,120.0,0.0,"138,271.00","12,596,488.10"
27,2025-04-30,120.0,120.0,120.0,120.0,-1.64,"150,000.00","18,000,000.00"
28,2025-04-09,122.0,122.0,122.0,122.0,0.0,"8,346.00","1,018,212.00"
29,2025-03-30,122.0,122.0,122.0,122.0,0.0,"30,000.00","3,660,000.00"
30,2025-03-24,122.0,122.0,122.0,122.0,0.0,"18,953.00","2,312,266.00"
31,2025-03-18,122.0,122.0,122.0,122.0,0.0,"37,704.00","4,599,888.00"
32,2025-03-12,122.0,122.0,122.0,122.0,0.0,"1,058,548.00","129,142,856.00"
33,2025-03-09,122.0,122.0,122.0,122.0,0.0,"37,703.00","4,599,766.00"
34,2025-03-03,122.0,122.0,122.0,122.0,0.0,"1,074,385.00","131,074,970.00"
35,2024-12-12,100.0,100.0,100.0,100.0,0.0,"250,000.00","25,000,000.00"
36,2024-12-09,100.0,100.0,100.0,100.0,0.0,"33,000.00","3,300,000.00"
37,2024-12-04,100.0,100.0,100.0,100.0,0.0,100.00,"10,000.00"
38,2024-11-21,102.0,102.0,100.0,100.0,0.0,"122,737.00","12,304,940.00"
39,2024-11-19,100.0,100.0,100.0,100.0,0.0,"29,277.00","2,927,700.00"
40,2024-10-02,100.0,100.0,100.0,100.0,0.0,"2,448.00","244,800.00"
41,2024-09-10,100.0,100.0,100.0,100.0,0.0,"32,690.00","3,269,000.00"
42,2024-08-29,100.0,100.0,100.0,100.0,0.0,"3,335.00","333,500.00"
43,2024-08-28,100.0,100.0,100.0,100.0,0.0,"17,858.00","1,785,800.00"
44,2024-08-13,100.0,100.0,100.0,100.0,0.0,"45,973.00","4,597,300.00"
45,2024-07-31,100.0,100.0,100.0,100.0,0.0,"12,500.00","1,250,000.00"
46,2024-07-14,100.0,100.0,100.0,100.0,0.0,"2,075,102.00","207,510,200.00"
47,2024-07-11,100.0,100.0,100.0,100.0,0.0,"1,488,941.00","148,894,100.00"
48,2024-07-10,100.0,100.0,100.0,100.0,0.0,"229,005.00","22,900,500.00"
49,2024-05-20,100.0,100.0,100.0,100.0,0.0,"10,802.00","1,080,200.00"
50,2024-05-14,100.0,100.0,100.0,100.0,0.0,"53,170.00","5,317,000.00"
51,2024-05-07,100.0,100.0,100.0,100.0,0.0,"123,751.00","12,375,100.00"
52,2024-05-06,100.0,100.0,100.0,100.0,0.0,"25,539.00","2,553,900.00"
53,2024-05-02,100.0,100.0,100.0,100.0,0.0,"303,403.00","30,340,300.00"
54,2024-04-29,100.0,100.0,100.0,100.0,0.0,"10,803.00","1,080,300.00"
55,2024-04-09,100.0,100.0,100.0,100.0,0.0,"4,500.00","450,000.00"
56,2024-02-22,100.0,100.0,100.0,100.0,0.0,"66,829.00","6,682,900.00"
57,2024-02-11,100.0,100.0,100.0,100.0,0.0,"10,246.00","1,024,600.00"
58,2024-02-08,100.0,100.0,100.0,100.0,0.0,"201,853.00","20,185,300.00"
59,2024-02-07,100.0,100.0,100.0,100.0,0.0,"17,803.00","1,780,300.00"
60,2024-02-06,100.0,100.0,100.0,100.0,0.0,"16,183.00","1,618,300.00"
61,2024-02-05,100.0,100.0,100.0,100.0,0.0,"424,342.00","42,434,200.00"
62,2024-01-08,100.0,100.0,100.0,100.0,0.0,"5,000.00","500,000.00"
63,2023-12-11,100.0,100.0,100.0,100.0,0.0,"12,916.00","1,291,600.00"
64,2023-12-07,100.0,100.0,100.0,100.0,0.0,"800,000.00","80,000,000.00"
65,2023-12-03,100.0,100.0,100.0,100.0,0.0,"40,460.00","4,046,000.00"
66,2023-11-28,102.0,105.0,100.0,100.0,0.0,"291,271.00","29,382,158.90"
67,2023-10-12,100.0,100.0,100.0,100.0,0.0,"15,465.00","1,546,500.00"
68,2023-10-11,100.0,100.0,100.0,100.0,0.0,"11,189.00","1,118,900.00"
69,2023-10-03,100.0,100.0,100.0,100.0,0.0,"24,275.00","2,427,500.00"
70,2023-09-26,100.0,100.0,100.0,100.0,0.0,"92,948.00","9,294,800.00"
71,2023-09-19,100.0,100.0,100.0,100.0,0.0,"59,769.00","5,976,900.00"
72,2023-09-10,100.0,100.0,100.0,100.0,0.0,"5,741.00","574,100.00"
73,2023-09-05,100.0,100.0,100.0,100.0,-1.96,"1,661.00","166,100.00"
74,2023-09-04,100.0,102.0,100.0,102.0,2.0,"151,955.00","15,422,088.00"
75,2023-09-03,100.0,100.0,100.0,100.0,0.0,"223,437.00","22,343,700.00"
76,2023-08-28,100.0,100.0,100.0,100.0,0.0,"29,317.00","2,931,700.00"
