S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-30,128.00,128.00,128.00,128.00,-2.29,"105,823.00","13,545,344.00"
2,2025-12-31,131.0,131.0,131.0,131.0,0.0,"39,493.00","5,173,583.00"
3,2025-12-17,131.0,131.0,131.0,131.0,0.0,"8,357.00","1,128,195.00"
4,2025-12-16,131.0,131.0,131.0,131.0,0.0,"150,766.00","17,505,230.00"
5,2025-11-12,131.0,131.0,131.0,131.0,0.0,"4,000.00","460,000.00"
6,2025-11-09,131.0,131.0,131.0,131.0,0.0,"81,248.00","9,343,520.00"
7,2025-11-02,131.0,131.0,131.0,131.0,0.0,"14,006,217.00","1,665,059,077.00"
8,2025-10-30,131.0,131.0,131.0,131.0,0.0,"14,006,230.00","1,665,060,622.00"
9,2025-08-18,131.0,131.0,131.0,131.0,-1.5,"31,237.00","4,092,047.00"
10,2025-07-02,133.0,133.0,133.0,133.0,0.0,407.00,"46,805.00"
11,2025-07-01,133.0,133.0,133.0,133.0,0.0,"366,316.00","43,072,002.00"
12,2025-04-22,133.0,133.0,133.0,133.0,0.0,"117,250.00","15,594,250.00"
13,2025-03-11,133.0,133.0,133.0,133.0,1.53,"50,000.00","6,650,000.00"
14,2025-01-02,131.0,131.0,131.0,131.0,4.8,"19,978.00","2,617,118.00"
15,2024-08-12,135.0,135.0,125.0,125.0,-7.41,"866,813.00","116,851,625.00"
16,2024-08-11,135.0,135.0,135.0,135.0,8.0,"601,184.00","81,159,840.00"
17,2024-08-06,125.0,125.0,125.0,125.0,0.0,"31,615.00","3,951,875.00"
18,2024-07-10,125.0,125.0,125.0,125.0,0.0,"171,120.00","21,390,000.00"
19,2024-06-27,125.0,125.0,125.0,125.0,0.0,"105,804.00","13,225,500.00"
20,2024-06-23,125.0,125.0,125.0,125.0,0.0,"59,259.00","7,407,375.00"
21,2024-06-13,125.0,125.0,125.0,125.0,1.46,"750,394.00","93,799,250.00"
22,2024-05-16,150.0,150.0,150.0,150.0,0.0,"5,291.00","793,650.00"
23,2024-02-05,120.8,120.8,120.8,120.8,-1.95,"35,980.00","4,346,384.00"
24,2024-01-14,132.3,132.3,123.2,123.2,-8.67,"192,626.00","24,801,054.80"
25,2024-01-11,146.1,150.0,134.9,150.0,0.67,"1,590,050.00","238,507,022.00"
26,2024-01-10,161.4,161.4,149.0,149.0,-9.48,50.00,"7,757.00"
27,2024-01-09,178.2,178.2,164.6,164.6,-9.46,50.00,"8,567.00"
28,2024-01-08,196.9,196.9,181.8,181.8,-9.51,50.00,"9,464.00"
29,2024-01-07,217.5,217.5,200.9,200.9,-9.46,50.00,"10,455.00"
30,2024-01-04,240.5,240.5,221.9,221.9,-9.58,50.00,"11,555.00"
31,2024-01-03,266.0,266.0,245.4,245.4,-9.58,50.00,"12,780.00"
32,2024-01-02,294.0,294.0,271.4,271.4,-9.53,50.00,"14,130.00"
33,2024-01-01,300.0,300.0,300.0,300.0,0.0,"1,000.00","300,000.00"
34,2023-12-27,300.0,300.0,300.0,300.0,0.0,"25,000.00","7,500,000.00"
35,2023-11-08,124.5,124.5,124.5,124.5,5.51,"420,304.00","52,327,848.00"
36,2023-11-07,125.0,125.0,118.0,118.0,-5.6,"745,460.00","91,644,228.00"
37,2023-11-06,125.0,125.0,125.0,125.0,0.0,"286,790.00","35,848,750.00"
38,2020-10-19,300.0,300.0,300.0,300.0,0.0,"112,686.00","33,805,800.00"
39,2020-10-18,300.0,300.0,300.0,300.0,3.45,"815,172.00","244,551,600.00"
40,2020-01-21,290.0,290.0,290.0,290.0,-31.76,"843,507.00","244,617,024.00"
41,2015-06-25,245.0,425.0,425.0,425.0,0.0,"6,652.00","2,827,100.00"
42,2014-10-30,241.0,245.0,245.0,245.0,0.0,"100,145.00","24,535,524.00"
43,2013-10-01,267.0,262.0,241.0,241.0,0.0,"635,713.00","153,207,392.00"
44,2013-09-30,296.0,291.0,267.0,267.0,0.0,60.00,"16,720.00"
45,2013-09-29,296.0,328.0,296.0,296.0,0.0,70.00,"21,740.00"
