S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,187.00,187.00,187.00,187.00,0.00,"2,437.00","455,719.00"
2,2026-01-21,187.0,187.0,187.0,187.0,0.0,"13,510.00","2,526,370.00"
3,2025-12-31,187.0,187.0,187.0,187.0,0.0,"4,278.00","799,986.00"
4,2025-11-20,187.0,187.0,187.0,187.0,0.0,"3,482.00","651,134.00"
5,2025-11-18,187.0,187.0,187.0,187.0,0.0,"1,862.00","348,194.00"
6,2025-11-17,187.0,187.0,187.0,187.0,0.0,"5,225.00","977,075.00"
7,2025-10-08,187.0,187.0,187.0,187.0,0.0,"21,821.00","4,080,527.00"
8,2025-06-24,187.0,187.0,187.0,187.0,0.0,"5,533.00","1,034,671.00"
9,2025-05-20,187.0,187.0,187.0,187.0,0.0,"11,184.00","2,091,408.00"
10,2025-05-14,187.0,187.0,187.0,187.0,0.0,"93,185.00","17,425,595.00"
11,2025-04-03,187.0,187.0,187.0,187.0,0.0,"12,404.00","2,319,548.00"
12,2025-02-23,188.3,188.3,188.3,188.3,0.0,900.00,"169,470.00"
13,2025-01-21,196.0,196.0,188.3,188.3,-5.85,"37,275.00","7,018,997.50"
14,2025-01-12,200.0,200.0,200.0,200.0,-1.96,"49,000.00","9,800,000.00"
15,2024-12-03,204.0,204.0,204.0,204.0,0.0,"3,728.00","760,512.00"
16,2024-11-17,204.0,204.0,204.0,204.0,0.0,746.00,"152,184.00"
17,2024-08-25,144.0,144.0,144.0,144.0,0.0,"1,930.00","277,920.00"
18,2024-06-23,144.0,144.0,144.0,144.0,-0.07,"3,727.00","536,688.00"
19,2024-06-20,144.1,144.1,144.1,144.1,-1.97,"3,483.00","501,900.30"
20,2024-06-19,147.0,147.0,147.0,147.0,0.0,"2,000.00","294,000.00"
21,2024-05-14,147.0,147.0,147.0,147.0,-2.0,"360,592.00","53,007,024.00"
22,2024-05-13,150.0,150.0,150.0,150.0,-1.32,"430,000.00","64,500,000.00"
23,2024-03-18,152.0,152.0,152.0,152.0,0.0,"4,955.00","753,160.00"
24,2024-01-29,152.0,152.0,152.0,152.0,0.0,"8,097.00","1,230,744.00"
25,2024-01-09,152.0,152.0,152.0,152.0,0.0,"135,004.00","20,520,608.00"
26,2024-01-03,152.0,152.0,152.0,152.0,0.0,"6,564.00","997,728.00"
27,2023-12-24,152.0,152.0,152.0,152.0,0.0,"73,780.00","11,214,560.00"
28,2023-12-17,152.0,152.0,152.0,152.0,0.0,"6,139.00","933,128.00"
29,2023-11-21,152.0,152.0,152.0,152.0,0.07,"5,000.00","760,000.00"
30,2023-11-05,151.9,151.9,151.9,151.9,0.0,"1,867.00","283,597.30"
31,2023-09-13,151.9,151.9,151.9,151.9,-2.0,"100,000.00","15,190,000.00"
32,2023-08-28,155.0,155.0,155.0,155.0,0.0,"1,572.00","243,660.00"
33,2023-08-17,155.0,155.0,155.0,155.0,0.0,"3,731.00","578,305.00"
34,2023-08-02,154.0,155.0,154.0,155.0,0.65,"14,319.00","2,210,126.00"
35,2023-07-31,154.0,154.0,154.0,154.0,-1.91,"3,236.00","498,344.00"
36,2023-07-16,157.0,157.0,157.0,157.0,0.0,"25,000.00","3,925,000.00"
37,2023-07-10,157.0,157.0,157.0,157.0,0.0,"10,000.00","1,570,000.00"
38,2023-04-06,165.0,165.0,165.0,165.0,0.0,"1,318.00","217,470.00"
39,2023-03-23,165.0,165.0,165.0,165.0,0.0,"200,000.00","33,000,000.00"
40,2023-02-09,165.0,165.0,165.0,165.0,0.0,"25,000.00","4,125,000.00"
