S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-12,193.00,193.00,193.00,193.00,-1.03,"420,000.00","81,060,000.00"
2,2026-01-29,195.0,195.0,195.0,195.0,-1.52,"100,000.00","19,500,000.00"
3,2026-01-04,198.0,198.0,198.0,198.0,0.0,"50,000.00","9,900,000.00"
4,2026-01-01,198.0,198.0,198.0,198.0,-1.98,"350,000.00","69,300,000.00"
5,2025-10-26,202.0,202.0,202.0,202.0,-1.94,"149,474.00","30,193,748.00"
6,2025-10-15,206.0,206.0,206.0,206.0,0.0,"36,460.00","7,510,760.00"
7,2025-07-24,232.0,232.0,232.0,232.0,0.0,"74,736.00","17,338,752.00"
8,2024-09-16,155.0,155.0,155.0,155.0,0.0,"75,000.00","11,625,000.00"
9,2024-07-30,155.0,155.0,155.0,155.0,0.0,"7,000.00","1,085,000.00"
10,2024-07-29,155.0,155.0,155.0,155.0,-0.06,"78,000.00","12,090,000.00"
11,2024-06-30,155.1,155.1,155.1,155.1,-1.96,"97,000.00","15,044,700.00"
12,2024-06-18,158.2,158.2,158.2,158.2,0.0,"46,508.00","7,357,565.60"
13,2023-12-03,158.2,158.2,158.2,158.2,-1.98,"46,867.00","7,414,359.40"
14,2023-11-30,161.4,161.4,161.4,161.4,0.0,"150,000.00","24,210,000.00"
15,2023-10-18,161.4,161.4,161.4,161.4,-1.94,"40,000.00","6,456,000.00"
16,2023-08-07,167.9,167.9,164.6,164.6,-3.91,"350,000.00","58,270,000.00"
17,2023-07-18,171.3,171.3,171.3,171.3,-1.95,81.00,"13,875.30"
18,2023-07-16,174.7,174.7,174.7,174.7,0.0,"2,400.00","419,280.00"
19,2023-07-12,174.7,174.7,174.7,174.7,0.0,"2,461.00","429,936.70"
20,2023-06-15,181.8,181.8,174.7,174.7,-5.82,"189,277.00","33,380,858.60"
21,2023-05-17,185.5,185.5,185.5,185.5,-1.96,"2,003.00","371,556.50"
22,2023-04-02,189.2,189.2,189.2,189.2,0.0,"25,000.00","4,730,000.00"
23,2023-02-09,189.2,189.2,189.2,189.2,-1.97,"7,746.00","1,465,543.20"
24,2022-08-16,211.0,211.0,211.0,211.0,0.0,940.00,"198,340.00"
25,2022-04-13,229.0,229.0,229.0,229.0,0.0,"4,703.00","1,076,987.00"
26,2021-12-27,315.0,315.0,315.0,315.0,0.0,"14,583.00","4,593,645.00"
27,2021-06-10,220.0,220.0,220.0,220.0,0.0,"55,000.00","12,100,000.00"
28,2021-03-02,110.0,110.0,110.0,110.0,0.92,"3,000.00","330,000.00"
29,2021-02-18,109.0,109.0,109.0,109.0,0.0,"10,007.00","1,090,763.00"
30,2021-02-16,109.0,109.0,109.0,109.0,0.0,"20,000.00","2,180,000.00"
31,2021-02-11,109.0,109.0,109.0,109.0,0.0,"39,210.00","4,273,890.00"
32,2020-12-28,109.0,109.0,109.0,109.0,0.0,"18,000.00","1,962,000.00"
33,2020-12-27,109.0,109.0,109.0,109.0,0.0,"8,858.00","965,522.00"
34,2020-12-21,109.0,109.0,109.0,109.0,0.0,"1,792.00","195,328.00"
35,2020-12-13,109.0,109.0,109.0,109.0,0.0,"20,000.00","2,180,000.00"
36,2020-12-10,109.0,109.0,109.0,109.0,0.0,"30,101.00","3,281,009.00"
37,2020-11-04,109.0,109.0,109.0,109.0,1.87,"211,686.00","23,073,774.00"
38,2020-10-08,107.0,107.0,107.0,107.0,0.0,"1,195.00","127,865.00"
39,2020-09-13,107.0,107.0,107.0,107.0,-2.73,"8,708.00","931,756.00"
40,2020-07-21,110.0,110.0,110.0,110.0,-6.78,"23,953.00","2,634,830.00"
41,2020-03-19,118.0,118.0,118.0,118.0,-5.6,"33,502.00","3,953,236.00"
42,2020-03-05,125.0,125.0,125.0,125.0,0.0,"95,000.00","11,875,000.00"
43,2019-09-16,116.0,116.0,116.0,116.0,0.0,"40,316.00","4,676,656.00"
44,2019-07-29,116.0,116.0,116.0,116.0,0.0,"7,086.00","821,976.00"
45,2019-07-11,116.0,116.0,116.0,116.0,0.0,"20,952.00","2,430,432.00"
46,2019-07-08,116.0,116.0,116.0,116.0,0.0,"20,000.00","2,320,000.00"
47,2019-06-18,116.0,116.0,116.0,116.0,0.87,"37,330.00","4,330,280.00"
48,2019-04-24,115.0,115.0,115.0,115.0,0.0,"33,798.00","3,886,770.00"
49,2019-04-04,115.0,115.0,115.0,115.0,-4.96,"65,211.00","7,499,265.00"
50,2018-12-10,121.0,121.0,121.0,121.0,0.0,"20,000.00","2,420,000.00"
51,2018-12-04,121.0,121.0,121.0,121.0,0.0,"6,309.00","763,389.00"
52,2018-11-28,121.0,121.0,121.0,121.0,0.0,"9,838.00","1,190,398.00"
53,2018-09-27,121.0,121.0,121.0,121.0,0.0,"165,607.00","20,038,448.00"
54,2018-04-08,121.0,121.0,121.0,121.0,0.83,"10,386.00","1,256,706.00"
55,2018-02-22,120.0,120.0,120.0,120.0,0.0,"33,988.00","4,078,560.00"
56,2018-01-23,120.0,120.0,120.0,120.0,0.0,"15,000.00","1,800,000.00"
57,2017-12-14,121.0,120.0,120.0,120.0,0.0,"26,057.00","3,126,840.00"
58,2017-11-28,121.0,121.0,121.0,121.0,0.0,"8,959.00","1,084,039.00"
59,2017-11-27,121.0,121.0,121.0,121.0,0.0,"82,126.00","9,937,246.00"
60,2017-11-21,121.0,121.0,121.0,121.0,0.0,"29,864.00","3,613,544.00"
61,2017-11-20,121.0,121.0,121.0,121.0,0.0,"25,000.00","3,025,000.00"
