S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2019-05-16,104.00,104.00,104.00,104.00,0.00,"5,002.00","520,208.00"
2,2019-04-18,104.00,104.00,104.00,104.00,-0.95,"2,000.00","208,000.00"
3,2019-02-05,105.00,105.00,105.00,105.00,0.00,"2,100.00","220,500.00"
4,2019-01-23,105.00,105.00,105.00,105.00,0.00,"5,000.00","525,000.00"
5,2019-01-03,105.00,105.00,105.00,105.00,0.00,"5,000.00","525,000.00"
6,2018-12-31,105.00,105.00,105.00,105.00,0.00,"5,000.00","525,000.00"
7,2018-12-30,105.00,105.00,105.00,105.00,-0.94,"36,687.00","3,852,135.00"
8,2018-12-27,106.00,106.00,106.00,106.00,0.00,"13,864.00","1,469,584.00"
9,2018-10-11,106.00,106.00,106.00,106.00,0.00,"4,785.00","507,210.00"
10,2018-09-23,106.00,106.00,106.00,106.00,0.00,"5,264.00","557,984.00"
11,2018-09-18,106.00,106.00,106.00,106.00,0.00,"58,228.00","6,172,168.00"
12,2018-01-03,106.00,106.00,106.00,106.00,0.00,"2,302.00","244,012.00"
13,2018-01-02,106.00,106.00,106.00,106.00,0.00,"20,321.00","2,154,026.00"
14,2018-01-01,105.00,106.00,106.00,106.00,0.00,"38,041.00","4,032,346.00"
