S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-29,100.00,108.10,103.00,108.10,8.10,"500,000.00","53,999,500.00"
2,2026-04-16,100.0,100.0,100.0,100.0,0.0,"170,485.00","17,048,500.00"
3,2026-03-12,100.0,100.0,100.0,100.0,0.0,"110,169.00","11,016,900.00"
4,2026-01-27,100.0,100.0,100.0,100.0,0.0,"100,517.00","10,051,700.00"
5,2026-01-01,100.0,100.0,100.0,100.0,0.0,"68,472.00","6,847,200.00"
6,2025-12-14,100.0,100.0,100.0,100.0,0.0,"8,000.00","800,000.00"
7,2025-12-02,100.0,100.0,100.0,100.0,0.0,"6,180.00","618,000.00"
8,2025-11-24,100.0,100.0,100.0,100.0,0.0,"15,000.00","1,500,000.00"
9,2025-11-16,100.0,100.0,100.0,100.0,0.0,"21,908.00","2,190,800.00"
10,2025-11-13,100.0,100.0,100.0,100.0,0.0,"28,695.00","2,869,500.00"
11,2025-11-09,104.0,104.0,100.0,100.0,-3.85,"441,812.00","44,541,220.00"
12,2025-10-08,104.0,104.0,104.0,104.0,0.0,"8,788.00","913,952.00"
13,2025-09-02,104.0,104.0,104.0,104.0,0.0,"50,398.00","5,241,392.00"
14,2025-08-28,104.0,104.0,104.0,104.0,0.0,"201,035.00","20,907,640.00"
15,2025-07-17,104.0,104.0,104.0,104.0,0.97,"282,355.00","29,364,920.00"
16,2025-07-14,103.0,103.0,103.0,103.0,-1.9,"10,000.00","1,030,000.00"
17,2025-06-17,105.0,105.0,105.0,105.0,0.0,"4,175.00","438,375.00"
18,2025-06-10,105.0,105.0,105.0,105.0,0.0,"23,849.00","2,504,145.00"
19,2025-06-04,105.0,105.0,105.0,105.0,0.0,"12,528.00","1,315,440.00"
20,2025-05-25,105.0,105.0,105.0,105.0,0.0,"43,720.00","4,590,600.00"
21,2025-05-13,105.0,105.0,105.0,105.0,-0.28,"30,152.00","3,165,960.00"
22,2025-04-22,105.3,105.3,105.3,105.3,0.0,"500,000.00","53,500,000.00"
23,2025-04-13,105.0,105.3,105.0,105.3,0.1,"200,000.00","21,045,000.00"
24,2025-03-25,105.2,105.2,105.2,105.2,0.0,"19,905.00","2,094,006.00"
25,2025-02-17,105.2,105.2,105.2,105.2,0.0,"12,521.00","1,317,209.20"
26,2025-01-26,105.2,105.2,105.2,105.2,0.0,"3,950.00","415,540.00"
27,2024-12-26,103.6,105.2,103.6,105.2,3.54,"218,260.00","22,960,536.00"
28,2024-12-24,101.6,101.6,101.6,101.6,-1.93,"21,916.00","2,226,665.60"
29,2024-12-19,103.6,103.6,103.6,103.6,0.0,"44,210.00","4,580,156.00"
30,2024-12-08,103.6,103.6,103.6,103.6,0.0,"107,837.00","11,171,913.20"
31,2024-12-04,103.6,103.6,103.6,103.6,0.0,"26,323.00","2,727,062.80"
32,2024-11-19,103.6,103.6,103.6,103.6,0.0,"32,529.00","3,370,004.40"
33,2024-11-17,103.6,103.6,103.6,103.6,-1.99,"10,660.00","1,104,376.00"
34,2024-11-14,107.8,107.8,105.7,105.7,-3.91,"83,843.00","8,961,932.00"
35,2024-11-06,110.0,110.0,110.0,110.0,-1.79,"7,942.00","873,620.00"
36,2024-10-24,112.0,112.0,112.0,112.0,-1.23,"421,840.00","47,246,080.00"
37,2024-10-20,113.4,113.4,113.4,113.4,0.0,"144,408.00","16,375,867.20"
38,2024-10-06,113.4,113.4,113.4,113.4,0.0,"11,355.00","1,287,657.00"
39,2024-08-27,113.4,113.4,113.4,113.4,0.0,"12,691.00","1,439,159.40"
40,2024-08-25,113.4,113.4,113.4,113.4,-1.99,"437,350.00","49,595,490.00"
41,2024-08-22,115.7,115.7,115.7,115.7,-1.95,"45,758.00","5,294,200.60"
42,2024-08-18,118.0,118.0,118.0,118.0,0.0,"27,463.00","3,240,634.00"
43,2024-08-15,120.1,120.1,118.0,118.0,-1.75,"87,343.00","10,405,894.30"
44,2024-08-01,120.1,120.1,120.1,120.1,0.0,"56,916.00","6,835,611.60"
45,2024-07-31,120.1,120.1,120.1,120.1,-1.96,"46,168.00","5,544,776.80"
46,2024-07-25,122.5,122.5,122.5,122.5,-2.0,"70,000.00","8,575,000.00"
47,2024-07-21,125.0,125.0,125.0,125.0,0.0,"150,000.00","18,750,000.00"
48,2024-06-19,125.0,125.0,125.0,125.0,-0.71,"50,626.00","6,328,250.00"
49,2024-06-16,136.3,136.3,125.9,125.9,-9.42,"284,614.00","35,833,159.60"
50,2024-06-06,139.0,139.0,139.0,139.0,0.0,"2,500.00","347,500.00"
51,2024-06-02,139.0,139.0,139.0,139.0,0.0,"105,585.00","14,676,315.00"
52,2024-05-08,139.0,139.0,139.0,139.0,0.0,"410,915.00","57,117,185.00"
53,2024-05-07,139.0,139.0,139.0,139.0,0.0,"30,000.00","4,170,000.00"
54,2024-05-05,139.0,139.0,139.0,139.0,0.0,"425,287.00","59,114,893.00"
55,2024-04-09,139.0,139.0,139.0,139.0,0.0,"7,868.00","1,093,652.00"
56,2024-04-03,110.0,111.0,110.0,111.0,0.0,"41,050.00","4,536,025.00"
57,2024-03-13,139.0,139.0,139.0,139.0,0.0,"10,082.00","1,401,398.00"
58,2024-03-07,139.0,139.0,139.0,139.0,0.0,"176,480.00","24,530,720.00"
59,2024-02-27,139.0,139.0,139.0,139.0,0.0,"19,023.00","2,644,197.00"
60,2024-02-26,141.2,141.2,138.4,139.0,-3.47,"100,527.00","13,914,390.40"
61,2024-02-20,110.0,110.0,110.0,110.0,0.0,"39,717.00","4,368,870.00"
62,2024-02-14,144.0,144.0,144.0,144.0,0.0,"808,520.00","116,426,880.00"
63,2024-02-08,115.5,115.5,115.5,115.5,0.0,"10,000.00","1,155,000.00"
64,2024-01-09,144.1,144.1,144.0,144.0,-0.07,"43,133.00","6,213,965.30"
65,2023-12-11,144.1,144.1,144.1,144.1,0.0,"80,205.00","11,557,540.50"
66,2023-12-06,144.1,144.1,144.1,144.1,0.0,"180,105.00","25,953,130.50"
67,2023-11-22,120.0,122.0,120.0,122.0,0.0,"850,010.00","102,009,200.00"
68,2023-11-02,120.0,144.1,120.0,144.1,-1.97,"531,593.00","64,552,551.30"
69,2023-10-31,147.0,147.0,147.0,147.0,0.0,"10,241.00","1,505,427.00"
70,2023-09-13,147.0,147.0,147.0,147.0,0.0,"23,200.00","3,410,400.00"
71,2023-08-30,147.0,147.0,147.0,147.0,0.0,"3,825.00","562,275.00"
72,2023-08-10,147.0,147.0,147.0,147.0,0.0,"38,048.00","5,593,056.00"
73,2023-08-09,147.0,147.0,147.0,147.0,0.0,"8,000.00","1,176,000.00"
74,2023-08-02,130.0,147.0,130.0,147.0,0.0,"362,817.00","47,353,210.00"
75,2023-07-13,147.0,147.0,147.0,147.0,0.0,"25,000.00","3,675,000.00"
76,2023-07-10,130.1,130.1,130.0,130.0,0.0,"1,915,000.00","248,950,500.00"
77,2023-05-03,147.0,147.0,147.0,147.0,0.0,"21,000.00","3,087,000.00"
78,2023-04-24,147.0,147.0,147.0,147.0,1.38,"23,200.00","3,410,400.00"
79,2023-04-02,145.0,145.0,145.0,145.0,0.0,"8,840.00","1,281,800.00"
80,2023-03-09,145.0,145.0,145.0,145.0,-1.36,"34,684.00","5,029,180.00"
81,2023-01-12,147.0,147.0,147.0,147.0,0.0,"63,500.00","9,334,500.00"
82,2023-01-03,147.0,147.0,147.0,147.0,0.0,"313,019.00","46,013,793.00"
83,2022-12-20,147.0,147.0,147.0,147.0,0.68,"8,035.00","1,181,145.00"
84,2022-11-16,146.0,146.0,146.0,146.0,0.0,"40,000.00","5,840,000.00"
85,2022-11-10,146.0,146.0,146.0,146.0,0.0,"6,885.00","1,005,210.00"
86,2022-11-02,146.0,146.0,146.0,146.0,0.0,"18,290.00","2,670,340.00"
