S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,255.80,255.80,255.80,255.80,-1.99,"4,492.00","1,149,053.60"
2,2025-09-28,118.0,118.0,118.0,118.0,0.0,"14,566.00","1,718,788.00"
3,2025-08-19,118.0,118.0,118.0,118.0,0.0,"3,933.00","464,094.00"
4,2025-07-29,118.0,118.0,118.0,118.0,0.0,"1,028.00","121,304.00"
5,2025-06-19,118.0,118.0,118.0,118.0,0.0,"3,933.00","464,094.00"
6,2025-05-26,118.0,118.0,118.0,118.0,0.0,"3,433.00","405,094.00"
7,2025-04-01,118.0,118.0,118.0,118.0,0.0,100.00,"11,800.00"
8,2025-02-13,118.0,118.0,118.0,118.0,-1.67,"3,539.00","417,602.00"
9,2025-01-15,120.0,120.0,120.0,120.0,-1.64,"1,716.00","205,920.00"
10,2024-12-18,122.0,122.0,122.0,122.0,-1.61,"3,433.00","418,826.00"
11,2024-11-20,124.0,124.0,124.0,124.0,-1.59,"3,723.00","461,652.00"
12,2024-11-13,126.0,126.0,126.0,126.0,-1.56,"15,000.00","1,890,000.00"
13,2024-10-20,128.0,128.0,128.0,128.0,-1.54,"1,060.00","135,680.00"
14,2024-09-29,130.0,130.0,130.0,130.0,-1.52,"3,433.00","446,290.00"
15,2024-09-12,132.0,132.0,132.0,132.0,-1.49,"3,433.00","453,156.00"
16,2024-08-12,134.0,134.0,134.0,134.0,-1.98,"3,433.00","460,022.00"
17,2024-08-01,136.7,136.7,136.7,136.7,-1.94,"3,433.00","469,291.10"
18,2024-07-29,139.4,139.4,139.4,139.4,-1.97,"3,433.00","478,560.20"
19,2024-06-30,151.0,151.0,142.2,142.2,-7.66,"30,701.00","4,450,125.50"
20,2024-06-27,163.0,163.0,154.0,154.0,-7.23,"10,309.00","1,622,734.00"
21,2024-06-24,178.4,178.4,166.0,166.0,-8.79,"13,558.00","2,298,788.80"
22,2024-06-02,182.0,182.0,182.0,182.0,0.0,"10,299.00","1,874,418.00"
23,2024-02-07,176.0,176.0,167.0,167.0,-6.7,"36,029.00","6,130,342.00"
24,2024-02-05,179.0,179.0,179.0,179.0,0.0,"3,451.00","617,729.00"
25,2023-10-05,170.0,170.0,161.0,161.0,-6.94,"11,243.00","1,853,146.00"
26,2023-10-01,182.0,182.0,173.0,173.0,-6.49,"19,086.00","3,371,670.00"
