S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,274.00,274.00,274.00,274.00,0.00,"3,000.00","822,000.00"
2,2026-01-05,274.0,274.0,274.0,274.0,0.0,"22,632.00","6,201,168.00"
3,2025-08-26,274.0,274.0,274.0,274.0,0.0,"10,998.00","3,013,452.00"
4,2025-07-16,274.0,274.0,274.0,274.0,1.11,"30,342.00","8,313,708.00"
5,2025-02-16,303.0,303.0,303.0,303.0,0.0,"15,170.00","4,596,510.00"
6,2024-04-15,204.0,204.0,204.0,204.0,0.0,"22,633.00","4,617,132.00"
7,2024-03-18,204.0,204.0,204.0,204.0,-5.12,"7,455.00","1,520,820.00"
8,2023-07-13,215.0,215.0,215.0,215.0,0.0,"20,656.00","4,441,040.00"
9,2023-03-27,164.0,164.0,164.0,164.0,0.0,"12,387.00","2,031,468.00"
10,2023-03-09,164.0,164.0,164.0,164.0,0.0,"14,244.00","2,336,016.00"
11,2023-01-09,164.0,164.0,164.0,164.0,0.0,"20,655.00","3,387,420.00"
12,2023-01-02,164.0,164.0,164.0,164.0,0.0,"10,000.00","1,640,000.00"
13,2022-11-16,164.0,164.0,164.0,164.0,0.0,"8,162.00","1,338,568.00"
14,2022-10-13,164.0,164.0,164.0,164.0,0.0,"2,695.00","441,980.00"
15,2022-06-28,177.0,177.0,177.0,177.0,0.0,"6,082.00","1,076,514.00"
16,2022-05-12,177.0,177.0,177.0,177.0,0.0,"17,961.00","3,179,097.00"
17,2022-01-03,316.0,316.0,316.0,316.0,0.0,"12,300.00","3,886,800.00"
18,2022-01-02,316.0,316.0,316.0,316.0,0.0,"1,326.00","419,016.00"
19,2021-12-09,316.0,316.0,316.0,316.0,-1.86,"17,864.00","5,645,024.00"
20,2021-11-30,322.0,322.0,322.0,322.0,0.0,563.00,"181,286.00"
21,2021-09-13,346.0,346.0,346.0,346.0,0.0,"9,296.00","3,216,416.00"
22,2021-08-18,346.0,346.0,346.0,346.0,0.0,"5,629.00","1,947,634.00"
23,2021-01-05,109.0,109.0,109.0,109.0,0.0,"4,800.00","523,200.00"
24,2020-11-02,109.0,109.0,109.0,109.0,0.0,"11,260.00","1,227,340.00"
25,2020-07-07,109.0,109.0,109.0,109.0,0.0,"10,054.00","1,095,886.00"
26,2019-09-26,109.0,109.0,109.0,109.0,-8.4,"2,240.00","244,160.00"
27,2019-07-17,119.0,119.0,119.0,119.0,0.0,"5,600.00","666,400.00"
28,2019-04-24,119.0,119.0,119.0,119.0,8.18,"25,135.00","2,991,065.00"
29,2018-10-02,110.0,110.0,110.0,110.0,0.0,"18,354.00","2,143,440.00"
30,2018-09-04,100.0,100.0,100.0,100.0,0.0,"2,600.00","260,000.00"
31,2018-04-04,114.0,114.0,114.0,114.0,-1.72,"8,278.00","943,692.00"
32,2018-01-07,116.0,100.0,100.0,100.0,0.0,"15,081.00","1,508,100.00"
33,2017-11-23,118.0,118.0,116.0,116.0,0.0,"22,108.00","2,604,744.00"
34,2017-11-21,120.0,118.0,118.0,118.0,0.0,"15,081.00","1,779,558.00"
35,2017-07-13,120.0,120.0,120.0,120.0,0.0,"10,000.00","1,200,000.00"
36,2016-01-13,100.0,100.0,100.0,100.0,0.0,"53,000.00","5,300,000.00"
