S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-09-07,232.00,232.00,232.00,232.00,0.00,"31,227.00","7,244,664.00"
2,2025-09-03,234.00,234.00,234.00,234.00,0.00,"25,759.00","6,027,606.00"
3,2025-06-30,197.00,197.00,197.00,197.00,0.00,"8,755.00","1,374,535.00"
4,2025-06-23,197.00,197.00,197.00,197.00,-1.99,"142,513.00","28,075,061.00"
5,2025-06-09,201.00,201.00,201.00,201.00,-1.95,"16,688.00","3,354,288.00"
6,2025-05-22,205.00,205.00,205.00,205.00,0.00,"12,216.00","2,504,280.00"
7,2025-04-27,205.00,205.00,205.00,205.00,0.00,"5,722.00","1,173,010.00"
8,2025-03-26,205.00,205.00,205.00,205.00,-1.91,"26,500.00","5,432,500.00"
9,2025-01-02,209.00,209.00,209.00,209.00,0.00,"33,396.00","6,979,764.00"
10,2024-10-27,164.00,164.00,164.00,164.00,-1.80,"18,590.00","3,048,760.00"
11,2024-09-18,167.00,167.00,167.00,167.00,0.00,"12,000.00","2,004,000.00"
12,2024-08-18,167.00,167.00,167.00,167.00,-1.76,"7,642.00","1,276,214.00"
13,2024-07-11,170.00,170.00,170.00,170.00,-1.73,"1,709.00","290,530.00"
14,2024-06-26,173.00,173.00,173.00,173.00,0.00,"12,140.00","2,100,220.00"
15,2024-06-24,173.00,173.00,173.00,173.00,0.00,"25,000.00","4,325,000.00"
16,2024-06-13,173.00,173.00,173.00,173.00,0.00,"14,000.00","2,422,000.00"
17,2024-06-10,173.00,173.00,173.00,173.00,0.00,340.00,"58,820.00"
18,2024-06-05,173.00,173.00,173.00,173.00,0.00,"2,600.00","449,800.00"
19,2024-06-02,173.00,173.00,173.00,173.00,0.00,"28,982.00","5,013,886.00"
20,2024-05-21,173.00,173.00,173.00,173.00,0.00,"35,000.00","6,055,000.00"
21,2024-04-10,173.00,173.00,173.00,173.00,0.00,"171,010.00","29,584,730.00"
22,2024-02-22,173.00,173.00,173.00,173.00,0.00,"12,200.00","2,110,600.00"
23,2024-02-20,173.00,173.00,173.00,173.00,0.00,"187,915.00","32,509,295.00"
24,2023-10-18,160.00,160.00,160.00,160.00,-1.84,"28,000.00","4,480,000.00"
25,2023-10-16,163.00,163.00,163.00,163.00,3.82,"5,970.00","973,110.00"
26,2023-06-27,157.00,157.00,157.00,157.00,0.00,"10,773.00","1,691,361.00"
27,2023-06-04,157.00,157.00,157.00,157.00,0.00,"9,000.00","1,413,000.00"
28,2023-04-17,157.00,157.00,157.00,157.00,0.00,"9,926.00","1,558,382.00"
29,2023-03-09,157.00,157.00,157.00,157.00,0.00,"4,383.00","688,131.00"
30,2023-01-26,157.00,157.00,157.00,157.00,0.00,"6,000.00","942,000.00"
31,2022-12-07,157.00,157.00,157.00,157.00,0.00,"19,710.00","3,094,470.00"
32,2022-11-23,157.00,157.00,157.00,157.00,0.00,"50,000.00","7,850,000.00"
33,2022-11-16,157.00,157.00,157.00,157.00,0.00,"4,007.00","629,099.00"
34,2022-07-12,214.00,214.00,214.00,214.00,0.00,"4,035.00","863,490.00"
35,2022-06-24,214.00,214.00,214.00,214.00,-1.83,"80,000.00","17,120,000.00"
36,2022-06-23,218.00,218.00,218.00,218.00,-1.80,"25,000.00","5,450,000.00"
37,2022-05-20,222.00,222.00,222.00,222.00,0.00,"124,410.00","27,619,020.00"
38,2022-04-06,222.00,222.00,222.00,222.00,0.00,"2,500.00","555,000.00"
39,2022-03-30,222.00,222.00,222.00,222.00,0.00,"4,709.00","1,045,398.00"
40,2022-03-22,222.00,222.00,222.00,222.00,-1.77,"10,500.00","2,331,000.00"
41,2022-02-08,226.00,226.00,226.00,226.00,0.00,"12,592.00","2,845,792.00"
42,2022-01-30,226.00,226.00,226.00,226.00,0.00,"10,000.00","2,260,000.00"
43,2022-01-17,226.00,226.00,226.00,226.00,0.00,"21,810.00","4,929,060.00"
44,2022-01-02,226.00,226.00,226.00,226.00,0.00,"19,827.00","4,480,902.00"
45,2021-12-21,226.00,226.00,226.00,226.00,-1.74,"27,000.00","6,102,000.00"
46,2021-11-21,230.00,230.00,230.00,230.00,-0.86,"6,086.00","1,399,780.00"
47,2021-11-18,232.00,232.00,232.00,232.00,-1.69,"19,825.00","4,599,400.00"
48,2021-07-27,236.00,236.00,236.00,236.00,0.00,"6,290.00","1,484,440.00"
