S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-24,266.00,264.00,264.00,264.00,-0.75,"39,237.00","10,358,568.00"
2,2026-04-23,266.0,266.0,266.0,266.0,0.0,"39,237.00","10,437,042.00"
3,2025-05-20,323.0,323.0,323.0,323.0,0.0,"37,922.00","9,480,500.00"
4,2025-05-15,323.0,323.0,323.0,323.0,0.0,"320,573.00","80,143,250.00"
5,2025-05-11,323.0,323.0,323.0,323.0,0.0,"36,429.00","9,107,250.00"
6,2025-05-04,323.0,323.0,323.0,323.0,0.0,"7,286.00","2,353,378.00"
7,2025-04-29,323.0,323.0,323.0,323.0,0.0,"43,714.00","14,119,622.00"
8,2025-04-23,323.0,323.0,323.0,323.0,0.0,100.00,"32,300.00"
9,2025-03-23,100.0,100.0,100.0,100.0,0.0,"7,286.00","1,821,500.00"
10,2025-03-20,100.0,100.0,100.0,100.0,0.0,"7,286.00","1,821,500.00"
11,2025-03-03,250.0,250.0,250.0,250.0,0.0,"72,857.00","18,214,250.00"
12,2025-02-06,250.0,250.0,250.0,250.0,0.0,"18,250.00","4,562,500.00"
13,2025-02-05,250.0,250.0,250.0,250.0,0.0,"72,857.00","18,214,250.00"
14,2025-01-28,250.0,250.0,250.0,250.0,0.0,"7,300.00","1,825,000.00"
15,2025-01-27,250.0,250.0,250.0,250.0,0.0,"66,430.00","16,607,500.00"
