S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2015-11-26,100.00,100.00,100.00,100.00,0.00,"18,000.00","1,800,000.00"
2,2015-10-15,100.00,100.00,100.00,100.00,0.00,"30,000.00","3,000,000.00"
3,2015-09-16,100.00,100.00,100.00,100.00,0.00,"10,000.00","1,000,000.00"
4,2015-09-15,101.00,100.00,100.00,100.00,0.00,"25,000.00","2,500,000.00"
5,2015-07-22,101.00,101.00,101.00,101.00,0.00,"14,437.00","1,458,137.00"
6,2015-05-28,101.00,101.00,101.00,101.00,0.00,"10,513.00","1,061,813.00"
7,2015-03-18,101.00,101.00,101.00,101.00,0.00,"14,508.00","1,465,308.00"
8,2015-01-05,100.00,101.00,101.00,101.00,0.00,"67,000.00","6,767,000.00"
9,2014-12-29,100.00,100.00,100.00,100.00,0.00,"102,000.00","10,200,000.00"
10,2014-04-27,100.00,100.00,100.00,100.00,0.00,"7,500.00","750,000.00"
11,2013-09-05,100.00,100.00,100.00,100.00,0.00,"1,000.00","100,000.00"
12,2013-06-20,0.00,100.00,100.00,100.00,0.00,"36,000.00","3,600,000.00"
