S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,"4,811.00","4,888.90","4,778.00","4,800.00",-1.34,"1,287.00","6,180,928.40"
2,2026-02-05,"4,800.00","4,894.40","4,800.00","4,865.00",-0.49,452.00,"2,182,311.00"
3,2026-02-04,"4,762.00","4,925.00","4,762.00","4,889.00",0.62,708.00,"3,429,512.00"
4,2026-02-03,"4,900.00","4,900.00","4,786.40","4,859.00",-0.49,655.00,"3,160,001.00"
5,2026-02-02,"4,790.00","4,970.00","4,790.00","4,883.00",0.08,957.00,"4,670,647.00"
6,2026-02-01,"4,802.30","4,900.00","4,802.30","4,879.00",0.62,"1,088.00","5,280,295.00"
7,2026-01-29,"4,856.60","4,878.00","4,808.10","4,848.90",-0.16,275.00,"1,329,898.40"
8,2026-01-28,"4,878.00","4,878.00","4,781.00","4,856.60",0.05,254.00,"1,224,819.00"
9,2026-01-27,"4,895.00","4,895.00","4,809.00","4,854.00",-0.49,312.00,"1,510,439.00"
10,2026-01-26,"4,964.90","4,965.00","4,816.00","4,878.00",-0.01,492.00,"2,391,261.00"
11,2026-01-25,"4,890.00","4,890.00","4,805.00","4,878.30",1.61,661.00,"3,191,698.90"
12,2026-01-22,"4,820.00","4,932.00","4,801.00","4,801.00",-1.21,"1,078.00","5,222,173.00"
13,2026-01-21,"4,966.70","4,966.70","4,860.00","4,860.00",-1.5,277.00,"1,354,956.00"
14,2026-01-20,"4,926.00","4,951.00","4,850.00","4,934.00",0.41,733.00,"3,594,982.00"
15,2026-01-18,"4,797.00","4,920.00","4,796.00","4,914.00",0.57,649.00,"3,173,934.10"
16,2026-01-14,"4,800.00","4,899.80","4,800.00","4,886.00",0.74,340.00,"1,639,220.00"
17,2026-01-13,"4,880.00","4,880.00","4,800.00","4,850.00",1.04,540.00,"2,600,670.00"
18,2026-01-12,"4,802.00","4,874.30","4,769.00","4,800.00",-1.34,853.00,"4,098,568.00"
19,2026-01-08,"4,831.00","4,890.00","4,806.00","4,865.00",-0.31,390.00,"1,896,872.80"
20,2026-01-07,"4,785.10","4,888.70","4,785.10","4,880.00",0.04,280.00,"1,358,062.00"
21,2026-01-06,"4,779.00","4,879.90","4,779.00","4,877.90",0.62,497.00,"2,416,617.00"
22,2026-01-05,"4,766.00","4,860.00","4,766.00","4,848.00",0.19,332.00,"1,597,763.10"
23,2026-01-04,"4,847.00","4,848.00","4,755.00","4,839.00",0.42,135.00,"648,212.00"
24,2026-01-01,"4,829.00","4,869.00","4,795.00","4,818.90",-1.19,417.00,"2,007,328.40"
25,2025-12-31,"4,860.00","4,888.70","4,840.00","4,877.00",0.35,166.00,"806,219.00"
26,2025-12-29,"4,800.00","4,895.60","4,800.00","4,860.00",-0.75,260.00,"1,263,126.50"
27,2025-12-28,"4,900.00","4,900.00","4,820.70","4,896.60",0.67,156.00,"761,584.60"
28,2025-12-24,"4,755.10","4,938.90","4,755.10","4,864.00",0.29,234.00,"1,136,124.80"
29,2025-12-23,"4,859.00","4,859.00","4,820.00","4,850.00",0.0,123.00,"594,706.00"
30,2025-12-22,"4,820.00","4,865.70","4,811.00","4,850.00",0.62,80.00,"386,323.00"
31,2025-12-21,"4,790.10","4,873.00","4,790.10","4,820.10",-1.1,291.00,"1,404,670.00"
32,2025-12-18,"4,807.10","4,882.00","4,807.10","4,873.90",0.51,162.00,"788,222.50"
33,2025-12-17,"4,860.00","4,890.00","4,849.00","4,849.10",-0.29,174.00,"845,031.00"
34,2025-12-16,"4,792.10","4,871.90","4,792.10","4,863.00",-0.14,177.00,"856,868.00"
35,2025-12-15,"4,878.90","4,878.90","4,797.00","4,869.90",0.31,98.00,"475,786.00"
36,2025-12-14,"4,820.00","4,888.90","4,793.40","4,855.00",-0.51,136.00,"657,781.00"
37,2025-12-11,"4,883.80","4,887.00","4,806.30","4,879.90",0.02,163.00,"790,972.00"
38,2025-12-10,"4,895.00","4,895.00","4,733.70","4,879.00",-0.08,"1,220.00","5,874,790.40"
39,2025-12-09,"4,925.00","4,925.00","4,842.30","4,883.00",0.06,161.00,"784,042.00"
40,2025-12-08,"4,840.00","4,903.50","4,840.00","4,879.90",0.41,160.00,"778,954.00"
41,2025-12-07,"4,920.00","4,920.00","4,831.00","4,860.00",-1.32,289.00,"1,405,668.40"
42,2025-12-03,"4,985.00","4,985.00","4,840.30","4,924.90",-0.27,599.00,"2,920,998.00"
43,2025-12-02,"4,835.00","4,940.00","4,835.00","4,938.00",0.78,110.00,"539,020.00"
44,2025-12-01,"4,997.00","4,997.00","4,802.10","4,900.00",-0.09,"1,302.00","6,335,621.00"
45,2025-11-30,"4,855.00","5,398.00","4,855.00","4,904.30",-0.48,"1,406.00","7,048,319.10"
46,2025-11-27,"4,990.00","5,000.00","4,890.10","4,928.00",-0.22,251.00,"1,239,018.00"
47,2025-11-26,"4,989.00","4,989.00","4,890.30","4,939.00",0.79,177.00,"874,927.00"
48,2025-11-25,"5,000.00","5,000.00","4,900.10","4,900.10",-1.34,324.00,"1,595,961.60"
49,2025-11-24,"4,960.00","4,996.00","4,862.10","4,966.80",0.77,433.00,"2,137,558.30"
50,2025-11-23,"4,832.00","4,990.00","4,832.00","4,929.00",0.18,350.00,"1,718,365.00"
51,2025-11-20,"4,823.00","4,939.90","4,823.00","4,920.00",0.11,270.00,"1,321,209.00"
52,2025-11-19,"4,994.00","4,994.00","4,857.00","4,914.60",0.34,333.00,"1,634,186.50"
53,2025-11-18,"4,935.00","4,935.00","4,868.00","4,898.00",0.06,81.00,"396,810.00"
