Commercial_Banks,Corporate_Debentures,Development_Bank_Limited,Finance,Government_Bonds,Hotels_And_Tourism,Hydro_Power,Investment,Life_Insurance,Manufacturing_And_Processing,Microfinance,Mutual_Fund,Non-Life_Insurance,Others,Preference_Share,Promoter_Share,Tradings
ADBL,ADBLD83,CORBL,BFC,HBLD86,BANDIPUR,AHL,CHDC,ALICL,BNL,ACLBSL,C30MF,HEI,HRL,EBLCP,ACEDPO,BBC
CZBIL,BOKD86,EDBL,CFCL,JBBD87,CGH,AHPC,CIT,CLI,BNT,ALBSL,CMF1,IGI,JHAPA,,ACLBSLP,STC
EBL,BOKD86KA,GBBL,CMB,,CITY,AKJCL,ENL,CREST,GCIL,ANLB,CMF2,NICL,MKCL,,AEFLPO,
GBIME,CBLD88,GRDBL,GFCL,,KDL,AKPL,HATHY,GMLI,HDL,AVYAN,CSY,NIL,NFD,,AFCPO,
HBL,CCBD88,JBBL,GMFIL,,OHL,API,HIDCL,HLI,NLO,CBBL,GBIMESY2,NLG,NRIC,,AICPO,
KBL,CIZBD86,KRBL,GUFL,,SHL,BARUN,NIFRA,ILI,OMPL,CYCL,GIBF1,NMIC,NRM,,AKBSLP,
LSL,CIZBD90,KSBBL,ICFC,,TRH,BEDC,NRN,LICN,RSML,DDBL,GIMES1,PRIN,NTC,,ALBSLP,
MBL,EBLD85,LBBL,JFL,,,BGWT,,NLIC,SAGAR,DLBS,GSY,RBCL,NWCL,,ALICLP,
NABIL,EBLD86,MDB,MFIL,,,BHCL,,NLICL,SAIL,FMDBL,H8020,SALICO,PURE,,ARDBLP,
NBL,EBLD91,MLBL,MPFL,,,BHDC,,PMLI,SARBTM,FOWAD,HLICF,SGIC,TTL,,BBBLNP,
NICA,EBLEB89,MNBBL,NFS,,,BHL,,RJBCL,SHIVM,GBLBS,KDBY,SICL,,,BBBLPO,
NIMB,GBBD85,NABBC,PFL,,,BHPL,,RNLI,SONA,GILB,KEF,SPIL,,,BFCPO,
NMB,GBD80/81,SABBL,PROFL,,,BNHC,,SJLIC,SRS,GLBSL,KSY,UAIL,,,BHBLPO,
PCBL,GBILD84/85,SADBL,RLFL,,,BPCL,,SNLI,SYPNL,GMFBS,LEMF,,,,BLDBLP,
PRVU,GBILD86/87,SAPDBL,SFCL,,,BUNGAL,,SRLI,UNL,HLBSL,LUK,,,,BOKLPO,
SANIMA,GWFD83,SHINE,SIFC,,,CHCL,,,,ILBS,LVF2,,,,BSBLPO,
SBI,HBLD83,SINDU,,,,CHL,,,,JBLB,MBLEF,,,,BUDBLP,
SBL,ICFCD83,,,,,CKHL,,,,JSLBB,MMF1,,,,CBBLPO,
SCB,ICFCD88,,,,,DHEL,,,,KMCDB,MNMF1,,,,CBLPO,
,KBLD86,,,,,DHPL,,,,LLBS,NBF1,,,,CCBLPO,
,KBLD89,,,,,DOLTI,,,,MATRI,NBF2,,,,CDBLPO,
,KBLD90,,,,,DORDI,,,,MERO,NBF3,,,,CEDBLP,
,KSBBLD87,,,,,EHPL,,,,MLBBL,NEF,,,,CEFLPO,
,LBBLD89,,,,,GHL,,,,MLBS,NIBLGF,,,,CFCLPO,
,LBLD86,,,,,GLH,,,,MLBSL,NIBLPF,,,,CITPO,
,LBLD88,,,,,GVL,,,,MSLB,NIBLSTF,,,,CMBFPO,
,MBLD2085,,,,,HDHPC,,,,NADEP,NIBSF1,,,,CYCLP,
,MBLD87,,,,,HHL,,,,NESDO,NIBSF2,,,,CZBILP,
,MFLD85,,,,,HIMSTAR,,,,NICLBSL,NICBF,,,,DBBLPO,
,MLBLD89,,,,,HPPL,,,,NMBMF,NICFC,,,,DCBLPO,
,MND84/85,,,,,HURJA,,,,NMFBS,NICGF,,,,DDBLPO,
,NABILD2089,,,,,IHL,,,,NMLBBL,NICGF2,,,,EBLPO,
,NABILD87,,,,,JOSHI,,,,NUBL,NICSF,,,,EDBLPO,
,NBBD2085,,,,,KBSH,,,,RSDC,NMB50,,,,EFLPO,
,NBLD82,,,,,KKHC,,,,SHLB,NMBHF1,,,,EICPO,
,NBLD85,,,,,KPCL,,,,SKBBL,NMBHF2,,,,FBBLPO,
,NBLD87,,,,,LEC,,,,SLBBL,NSIF2,,,,FFCLPO,
,NCCD86,,,,,MABEL,,,,SLBSL,PRSF,,,,FMDBLP,
,NIBD2082,,,,,MAKAR,,,,SMATA,PSF,,,,FOWADP,
,NIBD84,,,,,MANDU,,,,SMB,RBBF40,,,,GBBLPO,
,NICAD2091,,,,,MBJC,,,,SMFBS,RMF1,,,,GBIMEP,
,NICAD8182,,,,,MCHL,,,,SMPDA,RMF2,,,,GBLBSP,
,NICAD8283,,,,,MEHL,,,,SWASTIK,RSY,,,,GDBLPO,
,NICAD85/86,,,,,MEL,,,,SWBBL,SAEF,,,,GFCLPO,
,NICD83/84,,,,,MEN,,,,SWMF,SAGF,,,,GFLPO,
,NICD88,,,,,MHCL,,,,ULBSL,SBCF,,,,GILBPO,
,NIFRAGED,,,,,MHL,,,,UNLB,SEF,,,,GLICLP,
,NIFRAUR85/86,,,,,MHNL,,,,USLB,SFEF,,,,GMFILP,
,NIMBD90,,,,,MKHC,,,,VLBS,SFMF,,,,GRANDP,
,NMBD2085,,,,,MKHL,,,,WNLB,SIGS2,,,,GRDBLP,
,NMBD87/88,,,,,MKJC,,,,,SIGS3,,,,GSDBLP,
,NMBD89/90,,,,,MMKJL,,,,,SLCF,,,,GUFLPO,
,PBD84,,,,,MSHL,,,,,,,,,HAMAPO,
,PBD85,,,,,NGPL,,,,,,,,,HAMROP,
,PBD88,,,,,NHDL,,,,,,,,,HATHPO,
,PBLD84,,,,,NHPC,,,,,,,,,HBLPO,
,PBLD86,,,,,NYADI,,,,,,,,,HEIP,
,PBLD87,,,,,PHCL,,,,,,,,,HGIPO,
,RBBD2088,,,,,PMHPL,,,,,,,,,HIDCLP,
,RBBD83,,,,,PPCL,,,,,,,,,HLBSLP,
,SAND2085,,,,,PPL,,,,,,,,,HLIPO,
,SBD87,,,,,RADHI,,,,,,,,,ICFCPO,
,SBD89,,,,,RAWA,,,,,,,,,IDBLPO,
,SBIBD86,,,,,RFPL,,,,,,,,,IGIPO,
,SBID2090,,,,,RHGCL,,,,,,,,,ILBSP,
,SBID83,,,,,RHPL,,,,,,,,,IMEFIP,
,SBID89,,,,,RIDI,,,,,,,,,JBBLPO,
,SBLD2082,,,,,RURU,,,,,,,,,JBLBP,
,SBLD2091,,,,,SAHAS,,,,,,,,,JBNLPO,
,SBLD83,,,,,SANVI,,,,,,,,,JEFLPO,
,SBLD84,,,,,SGHC,,,,,,,,,JFLPO,
,SBLD89,,,,,SHEL,,,,,,,,,JSLBBP,
,SCBD,,,,,SHPC,,,,,,,,,KADBLP,
,SDBD87,,,,,SIKLES,,,,,,,,,KAFILP,
,SHINED,,,,,SJCL,,,,,,,,,KBBLPO,
,SRBLD83,,,,,SMH,,,,,,,,,KBLPO,
,SRD80,,,,,SMHL,,,,,,,,,KDBLPO,
,,,,,,SMJC,,,,,,,,,KFLPO,
,,,,,,SPC,,,,,,,,,KISTPO,
,,,,,,SPDL,,,,,,,,,KLBSLP,
,,,,,,SPHL,,,,,,,,,KMBLPO,
,,,,,,SPL,,,,,,,,,KMCDBP,
,,,,,,SSHL,,,,,,,,,KNBLPO,
,,,,,,TAMOR,,,,,,,,,KRBLPO,
,,,,,,TPC,,,,,,,,,KSBBLP,
,,,,,,TSHL,,,,,,,,,LBBLPO,
,,,,,,TVCL,,,,,,,,,LBLPO,
,,,,,,UHEWA,,,,,,,,,LFLCPO,
,,,,,,ULHC,,,,,,,,,LGILPO,
,,,,,,UMHL,,,,,,,,,LSLPO,
,,,,,,UMRH,,,,,,,,,LUBLPO,
,,,,,,UNHPL,,,,,,,,,MATRIP,
,,,,,,UPCL,,,,,,,,,MBBLPO,
,,,,,,UPPER,,,,,,,,,MBLPO,
,,,,,,USHEC,,,,,,,,,MDBLPO,
,,,,,,USHL,,,,,,,,,MDBPO,
,,,,,,VLUCL,,,,,,,,,MEGAPO,
,,,,,,,,,,,,,,,MEROPO,
,,,,,,,,,,,,,,,MFILPO,
,,,,,,,,,,,,,,,MFLPO,
,,,,,,,,,,,,,,,MIDBLP,
,,,,,,,,,,,,,,,MLBBLP,
,,,,,,,,,,,,,,,MLBLPO,
,,,,,,,,,,,,,,,MLBSLP,
,,,,,,,,,,,,,,,MMFDBP,
,,,,,,,,,,,,,,,MNBBLP,
,,,,,,,,,,,,,,,MPFLPO,
,,,,,,,,,,,,,,,MSLBP,
,,,,,,,,,,,,,,,NABBCP,
,,,,,,,,,,,,,,,NABBPO,
,,,,,,,,,,,,,,,NABILP,
,,,,,,,,,,,,,,,NADEPP,
,,,,,,,,,,,,,,,NBBLPO,
,,,,,,,,,,,,,,,NBBPO,
,,,,,,,,,,,,,,,NCCBPO,
,,,,,,,,,,,,,,,NCDBPO,
,,,,,,,,,,,,,,,NCMPO,
,,,,,,,,,,,,,,,NDEPPO,
,,,,,,,,,,,,,,,NEFLPO,
,,,,,,,,,,,,,,,NFSPO,
,,,,,,,,,,,,,,,NIBPO,
,,,,,,,,,,,,,,,NICAP,
,,,,,,,,,,,,,,,NICLBSLP,
,,,,,,,,,,,,,,,NICLPO,
,,,,,,,,,,,,,,,NIFRAP,
,,,,,,,,,,,,,,,NILPO,
,,,,,,,,,,,,,,,NIMBPO,
,,,,,,,,,,,,,,,NLBBLP,
,,,,,,,,,,,,,,,NLICLP,
,,,,,,,,,,,,,,,NLICP,
,,,,,,,,,,,,,,,NMBMFP,
,,,,,,,,,,,,,,,NMBPO,
,,,,,,,,,,,,,,,NMFBSP,
,,,,,,,,,,,,,,,NMLBBLP,
,,,,,,,,,,,,,,,NNFCPO,
,,,,,,,,,,,,,,,NNLBPO,
,,,,,,,,,,,,,,,NRICP,
,,,,,,,,,,,,,,,NSLBP,
,,,,,,,,,,,,,,,NUBLPO,
,,,,,,,,,,,,,,,ODBLPO,
,,,,,,,,,,,,,,,OFLPO,
,,,,,,,,,,,,,,,PADBLP,
,,,,,,,,,,,,,,,PCBLP,
,,,,,,,,,,,,,,,PDBLPO,
,,,,,,,,,,,,,,,PFILPO,
,,,,,,,,,,,,,,,PFLPO,
,,,,,,,,,,,,,,,PICLPO,
,,,,,,,,,,,,,,,PICPO,
,,,,,,,,,,,,,,,PLICPO,
,,,,,,,,,,,,,,,PMLIP,
,,,,,,,,,,,,,,,PRDBLP,
,,,,,,,,,,,,,,,PRFLPO,
,,,,,,,,,,,,,,,PRINPO,
,,,,,,,,,,,,,,,PROFLP,
,,,,,,,,,,,,,,,PRVUPO,
,,,,,,,,,,,,,,,PURBLP,
,,,,,,,,,,,,,,,RBCLPO,
,,,,,,,,,,,,,,,RBSPO,
,,,,,,,,,,,,,,,REDBLP,
,,,,,,,,,,,,,,,RFLPO,
,,,,,,,,,,,,,,,RLFLPO,
,,,,,,,,,,,,,,,RMDCPO,
,,,,,,,,,,,,,,,RSDCP,
,,,,,,,,,,,,,,,SADBLP,
,,,,,,,,,,,,,,,SAFLPO,
,,,,,,,,,,,,,,,SALICOPO,
,,,,,,,,,,,,,,,SAPDBLP,
,,,,,,,,,,,,,,,SBBLJP,
,,,,,,,,,,,,,,,SBLPO,
,,,,,,,,,,,,,,,SDBLPO,
,,,,,,,,,,,,,,,SDESIP,
,,,,,,,,,,,,,,,SETIPO,
,,,,,,,,,,,,,,,SEWAPO,
,,,,,,,,,,,,,,,SFCLP,
,,,,,,,,,,,,,,,SFFILP,
,,,,,,,,,,,,,,,SFLPO,
,,,,,,,,,,,,,,,SGICP,
,,,,,,,,,,,,,,,SHINEP,
,,,,,,,,,,,,,,,SICLPO,
,,,,,,,,,,,,,,,SICPO,
,,,,,,,,,,,,,,,SIFCPO,
,,,,,,,,,,,,,,,SILPO,
,,,,,,,,,,,,,,,SINDUP,
,,,,,,,,,,,,,,,SJLICP,
,,,,,,,,,,,,,,,SKBBLP,
,,,,,,,,,,,,,,,SLBBLP,
,,,,,,,,,,,,,,,SLBSP,
,,,,,,,,,,,,,,,SLICLP,
,,,,,,,,,,,,,,,SMATAP,
,,,,,,,,,,,,,,,SMBPO,
,,,,,,,,,,,,,,,SMFBSP,
,,,,,,,,,,,,,,,SMFDBP,
,,,,,,,,,,,,,,,SMPDAP,
,,,,,,,,,,,,,,,SNMAPO,
,,,,,,,,,,,,,,,SODBLPO,
,,,,,,,,,,,,,,,SPILPO,
,,,,,,,,,,,,,,,SRBLPO,
,,,,,,,,,,,,,,,SRLIP,
,,,,,,,,,,,,,,,STFLPO,
,,,,,,,,,,,,,,,SUBBLP,
,,,,,,,,,,,,,,,SUPRMP,
